date,open,high,low,close,bid,ask
2023-01-02,94.977,95.004,94.286,94.433,94.430,94.436
2023-01-03,94.457,94.779,93.364,93.668,93.665,93.671
2023-01-04,93.689,93.765,93.045,93.534,93.531,93.537
2023-01-05,93.637,93.848,92.506,92.926,92.923,92.929
2023-01-06,93.086,93.658,92.551,93.283,93.280,93.286
2023-01-09,93.637,93.836,92.806,93.083,93.080,93.086
2023-01-10,92.897,93.111,91.881,91.965,91.962,91.968
2023-01-11,91.891,92.151,91.502,92.073,92.070,92.076
2023-01-12,92.321,92.445,90.994,91.094,91.091,91.097
2023-01-13,91.297,91.727,89.702,89.953,89.950,89.956
2023-01-16,89.865,89.965,89.016,89.069,89.066,89.072
2023-01-17,89.151,89.661,88.531,88.554,88.551,88.557
2023-01-18,88.592,88.903,88.100,88.900,88.897,88.903
2023-01-19,88.877,89.175,88.843,89.157,89.154,89.160
2023-01-20,89.045,89.623,88.858,89.293,89.290,89.296
2023-01-23,89.309,89.516,88.850,89.020,89.017,89.023
2023-01-24,89.007,89.241,88.975,89.172,89.169,89.175
2023-01-25,89.569,89.612,88.929,88.999,88.996,89.002
2023-01-26,89.177,89.271,87.956,88.437,88.434,88.440
2023-01-27,88.565,89.190,88.434,88.942,88.939,88.945
2023-01-30,88.900,89.233,88.402,88.774,88.771,88.777
2023-01-31,88.702,89.044,88.353,88.421,88.418,88.424
2023-02-01,88.305,90.150,87.725,89.769,89.766,89.772
2023-02-02,89.637,89.685,89.198,89.667,89.664,89.670
2023-02-03,89.414,89.747,88.713,89.220,89.217,89.223
2023-02-06,89.423,89.792,88.090,88.304,88.301,88.307
2023-02-07,88.199,88.450,87.975,88.032,88.029,88.035
2023-02-08,87.814,88.408,87.396,88.152,88.149,88.155
2023-02-09,88.215,88.599,87.886,88.206,88.203,88.209
2023-02-10,88.302,88.364,88.108,88.261,88.258,88.264
2023-02-13,88.336,88.508,87.638,87.951,87.948,87.954
2023-02-14,87.783,88.144,87.592,88.035,88.032,88.038
2023-02-15,88.223,88.746,87.814,88.200,88.197,88.203
2023-02-16,88.501,88.773,88.082,88.291,88.288,88.294
2023-02-17,88.409,88.680,88.145,88.264,88.261,88.267
2023-02-20,88.268,89.232,87.903,89.077,89.074,89.080
2023-02-21,88.708,89.550,88.672,89.309,89.306,89.312
2023-02-22,89.461,90.078,89.330,89.807,89.804,89.810
2023-02-23,89.862,89.992,89.490,89.542,89.539,89.545
2023-02-24,89.538,89.753,89.329,89.655,89.652,89.658
2023-02-27,89.838,90.009,89.817,90.005,90.002,90.008
2023-02-28,90.147,90.414,90.085,90.370,90.367,90.373
2023-03-01,90.426,90.590,90.217,90.437,90.434,90.440
2023-03-02,90.219,91.052,89.804,90.983,90.980,90.986
2023-03-03,90.972,91.189,90.124,90.208,90.205,90.211
2023-03-06,90.104,90.190,89.704,89.956,89.953,89.959
2023-03-07,89.832,91.677,89.299,91.350,91.347,91.353
2023-03-08,91.544,91.742,91.429,91.470,91.467,91.473
2023-03-09,91.376,91.409,90.910,91.036,91.033,91.039
2023-03-10,91.118,92.304,90.803,91.726,91.723,91.729
2023-03-13,92.007,92.683,91.612,91.701,91.698,91.704
2023-03-14,92.025,92.299,91.460,92.192,92.189,92.195
2023-03-15,92.112,92.171,91.847,91.878,91.875,91.881
2023-03-16,91.978,92.978,91.921,92.680,92.677,92.683
2023-03-17,92.767,93.532,92.582,93.514,93.511,93.517
2023-03-20,93.522,93.634,93.508,93.554,93.551,93.557
2023-03-21,93.673,94.216,93.409,93.874,93.871,93.877
2023-03-22,93.611,94.773,93.381,94.531,94.528,94.534
2023-03-23,94.493,94.757,94.060,94.648,94.645,94.651
2023-03-24,94.424,94.962,94.111,94.149,94.146,94.152
2023-03-27,93.922,94.241,92.961,93.103,93.100,93.106
2023-03-28,93.038,93.153,92.512,92.721,92.718,92.724
2023-03-29,92.707,93.015,91.960,92.198,92.195,92.201
2023-03-30,91.971,93.412,91.900,92.642,92.639,92.645
2023-03-31,92.689,93.160,92.402,92.962,92.959,92.965
2023-04-03,92.914,93.149,91.785,92.200,92.197,92.203
2023-04-04,92.354,92.712,92.322,92.600,92.597,92.603
2023-04-05,92.713,93.554,92.538,93.354,93.351,93.357
2023-04-06,93.234,93.295,92.158,92.653,92.650,92.656
2023-04-07,92.610,93.657,92.447,93.101,93.098,93.104
2023-04-10,92.961,93.074,92.503,92.656,92.653,92.659
2023-04-11,92.669,93.257,92.545,93.224,93.221,93.227
2023-04-12,93.156,94.111,93.045,93.845,93.842,93.848
2023-04-13,93.674,93.936,92.974,93.349,93.346,93.352
2023-04-14,93.774,94.097,92.419,92.484,92.481,92.487
2023-04-17,92.694,92.698,91.992,92.398,92.395,92.401
2023-04-18,92.622,92.966,92.306,92.345,92.342,92.348
2023-04-19,92.373,92.554,92.252,92.282,92.279,92.285
2023-04-20,92.270,92.324,92.110,92.196,92.193,92.199
2023-04-21,92.071,93.144,91.666,92.715,92.712,92.718
2023-04-24,92.427,92.803,91.871,92.101,92.098,92.104
2023-04-25,92.122,92.461,91.664,91.877,91.874,91.880
2023-04-26,92.206,92.254,91.740,91.899,91.896,91.902
2023-04-27,91.743,92.081,91.549,91.721,91.718,91.724
2023-04-28,91.704,91.789,90.961,90.961,90.958,90.964
2023-05-01,90.969,90.975,90.670,90.722,90.719,90.725
2023-05-02,90.911,91.334,89.690,89.951,89.948,89.954
2023-05-03,89.746,90.823,89.563,90.270,90.267,90.273
2023-05-04,90.305,90.336,89.466,89.867,89.864,89.870
2023-05-05,89.837,90.842,89.128,90.358,90.355,90.361
2023-05-08,90.247,90.559,89.883,89.886,89.883,89.889
2023-05-09,89.836,90.228,89.564,89.692,89.689,89.695
2023-05-10,89.656,89.729,89.412,89.704,89.701,89.707
2023-05-11,89.657,90.254,89.288,89.978,89.975,89.981
2023-05-12,90.272,90.390,89.904,89.966,89.963,89.969
2023-05-15,90.025,90.785,89.738,90.636,90.633,90.639
2023-05-16,90.640,90.850,89.648,90.071,90.068,90.074
2023-05-17,90.226,90.452,89.869,90.007,90.004,90.010
2023-05-18,89.985,90.899,89.938,90.754,90.751,90.757
2023-05-19,90.852,91.069,90.541,90.913,90.910,90.916
2023-05-22,90.764,91.048,90.271,90.382,90.379,90.385
2023-05-23,90.314,90.812,90.259,90.659,90.656,90.662
2023-05-24,90.714,91.071,90.684,90.928,90.925,90.931
2023-05-25,91.048,91.090,90.063,90.323,90.320,90.326
2023-05-26,90.238,90.436,89.892,90.009,90.006,90.012
2023-05-29,89.957,89.996,89.040,89.454,89.451,89.457
2023-05-30,89.507,90.652,88.863,90.520,90.517,90.523
2023-05-31,90.534,90.994,89.478,89.482,89.479,89.485
2023-06-01,89.400,89.883,89.265,89.786,89.783,89.789
2023-06-02,89.737,90.345,89.658,90.241,90.238,90.244
2023-06-05,90.062,90.291,89.491,89.850,89.847,89.853
2023-06-06,89.755,89.963,89.652,89.712,89.709,89.715
2023-06-07,89.511,90.141,89.497,89.740,89.737,89.743
2023-06-08,89.502,89.623,89.340,89.590,89.587,89.593
2023-06-09,89.624,89.864,88.439,88.709,88.706,88.712
2023-06-12,88.585,89.134,88.240,88.919,88.916,88.922
2023-06-13,88.874,88.905,88.050,88.212,88.209,88.215
2023-06-14,87.933,87.967,87.389,87.712,87.709,87.715
2023-06-15,87.657,87.841,86.683,87.391,87.388,87.394
2023-06-16,87.372,87.753,87.153,87.557,87.554,87.560
2023-06-19,87.551,88.126,87.344,88.028,88.025,88.031
2023-06-20,87.998,89.061,87.901,88.884,88.881,88.887
2023-06-21,88.832,89.666,88.797,89.587,89.584,89.590
2023-06-22,89.685,90.303,89.664,90.228,90.225,90.231
2023-06-23,89.977,90.996,89.806,90.866,90.863,90.869
2023-06-26,91.034,91.216,89.998,90.151,90.148,90.154
2023-06-27,90.155,90.181,89.490,89.648,89.645,89.651
2023-06-28,89.479,90.096,89.446,89.700,89.697,89.703
2023-06-29,89.696,90.775,89.532,90.406,90.403,90.409
2023-06-30,90.312,90.822,90.236,90.525,90.522,90.528
2023-07-03,90.485,91.052,90.424,90.631,90.628,90.634
2023-07-04,90.458,91.194,89.880,91.139,91.136,91.142
2023-07-05,91.464,91.619,89.593,90.007,90.004,90.010
2023-07-06,89.928,90.876,89.777,90.467,90.464,90.470
2023-07-07,90.356,91.069,90.050,90.917,90.914,90.920
2023-07-10,90.811,91.478,90.753,91.354,91.351,91.357
2023-07-11,91.347,91.723,90.389,90.556,90.553,90.559
2023-07-12,90.704,90.744,90.084,90.125,90.122,90.128
2023-07-13,90.251,90.605,89.980,89.984,89.981,89.987
2023-07-14,90.132,90.536,89.296,89.331,89.328,89.334
2023-07-17,89.508,89.565,89.358,89.565,89.562,89.568
2023-07-18,89.740,90.186,89.610,89.961,89.958,89.964
2023-07-19,89.745,90.223,89.637,90.037,90.034,90.040
2023-07-20,89.974,91.344,89.932,91.151,91.148,91.154
2023-07-21,91.259,91.908,90.935,91.734,91.731,91.737
2023-07-24,91.793,92.017,91.532,91.791,91.788,91.794
2023-07-25,91.792,92.097,91.056,91.332,91.329,91.335
2023-07-26,91.262,91.320,90.399,90.556,90.553,90.559
2023-07-27,90.452,91.032,89.834,90.558,90.555,90.561
2023-07-28,90.352,90.909,89.578,89.605,89.602,89.608
2023-07-31,89.500,90.332,89.456,89.859,89.856,89.862
2023-08-01,89.596,90.362,88.996,90.234,90.231,90.237
2023-08-02,90.358,90.897,90.141,90.363,90.360,90.366
2023-08-03,90.089,90.966,89.651,90.573,90.570,90.576
2023-08-04,90.594,90.861,90.275,90.572,90.569,90.575
2023-08-07,90.754,90.996,90.164,90.525,90.522,90.528
2023-08-08,90.554,90.884,90.191,90.390,90.387,90.393
2023-08-09,90.801,90.876,89.845,90.410,90.407,90.413
2023-08-10,90.558,90.997,89.600,89.881,89.878,89.884
2023-08-11,89.780,89.825,89.198,89.321,89.318,89.324
2023-08-14,89.447,89.584,88.809,89.028,89.025,89.031
2023-08-15,88.813,90.019,88.624,89.969,89.966,89.972
2023-08-16,90.046,90.171,89.564,89.706,89.703,89.709
2023-08-17,89.593,90.044,89.055,89.989,89.986,89.992
2023-08-18,89.769,89.836,88.958,89.123,89.120,89.126
2023-08-21,89.151,89.854,89.036,89.699,89.696,89.702
2023-08-22,89.799,90.380,89.590,90.080,90.077,90.083
2023-08-23,90.012,90.043,89.433,89.640,89.637,89.643
2023-08-24,89.682,89.906,89.398,89.452,89.449,89.455
2023-08-25,89.370,89.522,88.612,89.382,89.379,89.385
2023-08-28,89.385,90.016,89.227,89.862,89.859,89.865
2023-08-29,89.701,89.888,89.477,89.748,89.745,89.751
2023-08-30,89.859,90.363,89.829,90.232,90.229,90.235
2023-08-31,90.142,90.397,89.187,89.305,89.302,89.308
2023-09-01,89.264,89.646,89.154,89.331,89.328,89.334
2023-09-04,89.208,89.333,88.569,89.125,89.122,89.128
2023-09-05,89.099,89.889,88.895,89.820,89.817,89.823
2023-09-06,90.206,90.486,90.102,90.382,90.379,90.385
2023-09-07,90.478,90.774,90.409,90.596,90.593,90.599
2023-09-08,90.803,90.956,90.603,90.797,90.794,90.800
2023-09-11,90.894,91.461,90.077,90.456,90.453,90.459
2023-09-12,90.229,90.312,88.948,89.541,89.538,89.544
2023-09-13,89.559,89.926,88.869,89.191,89.188,89.194
2023-09-14,89.245,89.391,88.292,88.651,88.648,88.654
2023-09-15,88.716,89.037,88.293,88.552,88.549,88.555
2023-09-18,88.820,88.926,87.345,87.616,87.613,87.619
2023-09-19,87.791,88.938,87.575,88.394,88.391,88.397
2023-09-20,88.365,89.106,87.860,88.943,88.940,88.946
2023-09-21,88.944,89.485,88.889,89.318,89.315,89.321
2023-09-22,89.428,89.735,88.185,88.291,88.288,88.294
2023-09-25,88.073,88.215,87.728,88.183,88.180,88.186
