date,open,high,low,close
2023-01-02,42282.39,42754.87,40538.07,41182.48
2023-01-03,40759.64,41173.13,39504.57,40075.01
2023-01-04,40229.70,40941.48,37415.86,37511.05
2023-01-05,37229.31,37544.06,35728.95,36386.03
2023-01-06,36662.30,37022.05,35595.41,35927.61
2023-01-07,36358.67,36703.27,34736.84,35548.31
2023-01-08,35387.65,35457.19,34451.73,35143.62
2023-01-09,35587.60,35902.12,33791.52,34143.22
2023-01-10,33866.65,34956.00,33388.34,34531.97
2023-01-11,34190.28,35336.25,33850.21,35310.52
2023-01-12,35245.33,36398.99,34342.55,34914.03
2023-01-13,35155.50,35444.65,33833.40,33952.39
2023-01-14,34115.65,34260.96,33993.45,34258.64
2023-01-15,34078.23,35710.94,34023.15,35112.51
2023-01-16,34987.31,36208.82,34803.50,35282.72
2023-01-17,35123.55,36532.11,35067.27,36373.75
2023-01-18,36511.36,37303.70,35260.74,35581.83
2023-01-19,35662.99,36070.04,35159.90,35728.75
2023-01-20,35720.54,35893.72,34619.28,35002.16
2023-01-21,34965.27,36235.15,34377.80,36227.87
2023-01-22,36519.24,37761.56,36046.02,37108.16
2023-01-23,36668.07,37999.22,36581.47,37754.48
2023-01-24,37431.85,37783.73,36471.86,37207.51
2023-01-25,37032.65,37195.85,35984.95,36756.54
2023-01-26,36636.34,37473.35,35887.15,37185.13
2023-01-27,37862.48,38179.67,36236.52,36853.63
2023-01-28,36716.28,37881.93,36410.47,37775.20
2023-01-29,37671.70,38212.17,37241.42,37435.38
2023-01-30,37836.96,38293.70,35489.59,35977.16
2023-01-31,35919.67,36080.21,34902.36,35023.14
2023-02-01,34792.97,35954.68,34767.24,35939.82
2023-02-02,35814.06,35966.08,35656.09,35925.66
2023-02-03,35944.27,36091.97,34315.03,34772.87
2023-02-04,34774.10,35225.73,34650.42,34828.09
2023-02-05,35157.83,36307.25,34496.13,35578.54
2023-02-06,35514.43,35641.48,34420.30,35323.50
2023-02-07,35400.75,35565.69,33794.64,34506.67
2023-02-08,34557.20,35877.78,34486.89,35355.69
2023-02-09,35326.78,35382.75,33444.65,34025.24
2023-02-10,34138.78,36616.98,33683.07,35732.50
2023-02-11,35888.42,36065.29,35174.25,35265.18
2023-02-12,35323.81,36993.51,34778.37,36630.90
2023-02-13,36258.72,37847.82,35716.87,35989.88
2023-02-14,36245.79,36317.33,35899.75,36277.02
2023-02-15,36481.07,37369.59,35549.86,37342.87
2023-02-16,37347.17,39478.19,37046.05,39401.28
2023-02-17,38695.85,41644.99,38443.30,40841.76
2023-02-18,40985.85,41758.41,40218.88,40901.36
2023-02-19,41003.36,41310.87,39756.18,39911.74
2023-02-20,39938.21,40621.15,38887.38,40483.19
2023-02-21,40095.53,40332.08,38932.66,39640.22
2023-02-22,39510.49,39768.85,38386.11,39273.78
2023-02-23,39468.56,41162.90,39116.30,40886.87
2023-02-24,40486.73,41376.11,40237.14,40753.22
2023-02-25,40661.64,41408.22,39961.22,40991.81
2023-02-26,40380.97,40491.11,40187.97,40479.66
2023-02-27,40915.49,41654.00,38569.30,39882.27
2023-02-28,40215.12,40496.85,37339.06,37656.87
2023-03-01,37794.69,39332.90,36954.85,38863.88
2023-03-02,38746.74,39650.73,38308.08,39317.90
2023-03-03,39564.25,39752.43,38098.89,38556.83
2023-03-04,38762.94,38808.03,38090.81,38517.87
2023-03-05,38237.60,39791.13,36951.38,37155.46
2023-03-06,36967.34,39497.35,36905.03,39103.46
2023-03-07,38737.44,40328.53,38673.05,39153.56
2023-03-08,39542.15,40163.87,37508.98,38175.01
2023-03-09,37853.64,38024.85,36776.91,37426.03
2023-03-10,37155.69,37621.23,35045.05,35959.99
2023-03-11,35838.80,37150.37,35553.69,36633.67
2023-03-12,36528.45,36743.18,35767.59,36315.08
2023-03-13,36366.04,36607.54,36038.22,36211.41
2023-03-14,35973.24,36299.21,34843.95,35064.52
2023-03-15,35280.61,36803.80,34830.57,36408.62
2023-03-16,35866.71,36197.23,35312.85,35861.13
2023-03-17,35176.79,38173.16,35064.12,37899.17
2023-03-18,37594.66,38017.84,35805.19,36815.30
2023-03-19,37138.71,37979.56,36600.72,37305.66
2023-03-20,37554.18,37645.03,35377.62,36552.79
2023-03-21,36188.11,37008.21,36051.19,36598.05
2023-03-22,36261.62,36275.78,34911.39,34992.06
2023-03-23,35164.24,37253.46,34868.40,36379.60
2023-03-24,35992.89,36398.81,32691.93,33208.88
2023-03-25,33514.04,33981.65,32886.91,33858.56
2023-03-26,33572.86,34424.93,33442.83,34224.45
2023-03-27,34728.75,35784.40,34400.11,35488.57
2023-03-28,35318.96,36412.96,34985.57,36268.71
2023-03-29,35878.85,36974.17,35707.58,36770.11
2023-03-30,36428.78,38426.67,35398.69,37951.15
2023-03-31,38084.09,39568.51,37835.08,39144.70
2023-04-01,38931.15,39234.08,38475.04,39215.90
2023-04-02,38856.64,40732.24,38565.69,40515.22
2023-04-03,40007.29,40152.77,38929.65,39916.10
2023-04-04,40065.25,41012.30,39701.56,40311.91
2023-04-05,40203.68,42209.35,39414.57,41469.08
2023-04-06,41221.76,41430.74,39924.82,40900.04
2023-04-07,40784.21,40850.54,39355.97,39812.06
2023-04-08,40098.60,41213.42,39696.79,40536.39
2023-04-09,40711.35,40989.08,37338.98,37891.47
2023-04-10,37976.13,38153.88,35630.96,36619.98
2023-04-11,36644.95,37273.35,35246.47,36156.84
2023-04-12,36581.86,36914.81,36233.90,36378.06
2023-04-13,36821.01,39193.05,36366.55,38778.02
2023-04-14,39648.54,39744.85,37963.66,39322.19
2023-04-15,39111.07,40590.80,38963.07,39852.63
2023-04-16,39978.84,40430.38,38189.02,38314.30
2023-04-17,38910.73,39099.75,37421.69,37822.69
2023-04-18,37338.41,37696.05,37165.95,37512.60
2023-04-19,37211.05,37289.31,37006.98,37072.60
2023-04-20,37012.52,38025.13,36916.02,37652.53
2023-04-21,37907.01,38126.38,36126.53,36991.01
2023-04-22,37131.10,37484.07,35334.49,36642.49
2023-04-23,36514.84,37519.00,35208.38,35448.04
2023-04-24,35508.13,36340.12,34397.67,34873.13
2023-04-25,34990.28,37051.67,34504.95,36981.13
2023-04-26,36926.36,38060.62,36883.09,37634.76
2023-04-27,37658.12,38610.92,37504.01,38514.09
2023-04-28,38600.14,39897.35,37667.95,39698.00
2023-04-29,39227.19,39642.46,38699.61,39319.67
2023-04-30,39096.63,39599.12,38590.73,39293.05
2023-05-01,39318.97,39398.99,38311.77,38556.44
2023-05-02,37999.94,38150.28,37888.12,38078.91
2023-05-03,37980.86,40228.22,37973.04,39506.97
2023-05-04,39625.64,40264.82,38249.05,38331.35
2023-05-05,38372.30,39993.50,37406.05,38039.37
2023-05-06,38380.34,39256.99,36387.81,37534.87
2023-05-07,37471.24,38582.15,36861.78,37392.71
2023-05-08,37595.00,39395.51,37064.53,39047.56
2023-05-09,39050.56,42592.30,37650.71,41221.68
2023-05-10,41517.23,42170.72,40020.08,40407.91
2023-05-11,39816.10,41947.14,39353.92,41590.64
2023-05-12,41361.44,43822.59,40770.31,43661.94
2023-05-13,43883.73,44509.05,42123.11,42373.72
2023-05-14,41897.04,42172.27,41787.91,42004.23
2023-05-15,41557.70,41741.47,40713.82,40778.65
2023-05-16,40198.66,40424.66,39173.29,39957.99
2023-05-17,39899.16,40363.85,38818.13,39030.97
2023-05-18,39417.96,39561.80,37844.03,38343.85
2023-05-19,38144.29,38330.57,36349.52,36499.48
2023-05-20,36298.60,36666.29,36040.32,36351.97
2023-05-21,36472.04,37307.84,35929.83,36037.45
2023-05-22,36023.81,38513.77,35728.96,37615.97
2023-05-23,37356.02,38790.76,36352.87,38435.37
2023-05-24,38393.37,38699.53,37836.63,37965.95
2023-05-25,37781.81,40927.91,37490.43,39909.04
2023-05-26,39674.54,39748.94,38472.09,38480.45
2023-05-27,38529.14,39059.14,36750.17,37725.55
2023-05-28,37401.20,38064.22,37280.44,37658.71
2023-05-29,37700.76,38105.13,37000.39,37492.00
2023-05-30,37231.13,38107.38,37130.48,38013.00
2023-05-31,38611.46,38781.53,38469.95,38533.54
2023-06-01,38888.36,38909.71,37063.39,37080.11
2023-06-02,37144.95,37709.01,36237.18,36406.38
2023-06-03,36415.70,37748.38,36261.95,37499.44
2023-06-04,37545.80,38416.13,36776.21,37135.01
2023-06-05,37345.10,37540.68,34700.10,36077.05
2023-06-06,36159.00,36707.79,35238.36,35839.63
2023-06-07,35559.76,35822.93,34268.46,34325.45
2023-06-08,34223.12,36058.36,34202.99,35107.83
2023-06-09,34682.66,34815.97,33454.53,33641.07
2023-06-10,33534.79,35790.60,33456.36,35734.05
2023-06-11,36002.78,36395.97,35326.81,35592.29
2023-06-12,35391.20,37669.04,35348.86,36682.25
2023-06-13,36639.40,39625.39,35967.15,39242.99
2023-06-14,39241.12,39427.47,37638.03,37919.88
2023-06-15,37477.37,37912.89,37181.74,37620.36
2023-06-16,37326.52,39951.45,37240.40,39136.69
2023-06-17,38734.92,40187.65,38370.16,39716.98
2023-06-18,40157.78,41807.45,39511.41,41802.06
2023-06-19,42534.21,43261.71,40798.64,41411.66
2023-06-20,41923.45,42423.46,41621.86,41965.48
2023-06-21,41947.15,43320.24,41925.03,43108.19
2023-06-22,43471.93,43806.56,41123.32,42830.97
2023-06-23,43305.18,43804.28,42134.56,42864.39
2023-06-24,43231.08,43683.62,40823.15,41784.70
2023-06-25,42420.31,42476.72,39552.57,40180.19
2023-06-26,40104.45,40829.52,39168.55,39304.86
2023-06-27,39239.53,40355.76,38941.39,40265.46
2023-06-28,39584.11,41600.53,39318.42,40821.89
2023-06-29,41669.59,42638.51,39060.40,40085.31
2023-06-30,40253.08,40757.25,39288.58,39388.23
2023-07-01,39582.75,39786.92,38533.60,38940.70
2023-07-02,39103.96,39532.39,37687.83,38573.97
2023-07-03,38433.68,39147.90,37651.27,38911.15
2023-07-04,39473.84,40618.77,38226.56,39120.12
2023-07-05,39806.64,39898.53,36119.42,37180.58
2023-07-06,37284.49,40615.20,37019.12,39694.26
2023-07-07,39862.15,42532.49,39816.86,41777.30
2023-07-08,41383.56,42607.15,40944.03,42137.52
2023-07-09,42634.69,43877.99,42093.95,43203.09
2023-07-10,43496.29,44143.96,43455.74,43944.92
2023-07-11,44476.64,45246.26,43660.07,44764.16
2023-07-12,44859.74,45276.14,43398.44,43642.00
2023-07-13,43653.29,43834.31,41963.75,42825.56
2023-07-14,42341.44,46372.79,41937.63,45124.42
2023-07-15,45635.28,48279.12,45078.98,47192.50
2023-07-16,47373.55,47947.35,47197.10,47673.60
2023-07-17,47597.65,50601.97,47563.40,49499.29
2023-07-18,49853.00,50758.88,47792.67,47811.72
2023-07-19,47480.93,49220.06,46332.75,48631.70
2023-07-20,47829.12,49314.07,47512.82,49159.57
2023-07-21,48994.40,52277.89,48908.43,52220.80
2023-07-22,52122.46,52131.45,47816.28,48096.56
2023-07-23,48455.11,48818.96,48215.15,48328.36
2023-07-24,48028.69,49406.39,47831.80,49369.46
2023-07-25,49785.60,50865.73,47568.44,47637.38
2023-07-26,47099.30,47789.92,46775.06,47607.71
2023-07-27,47465.95,50544.13,47349.04,49861.08
2023-07-28,49425.29,49427.93,47176.36,48568.24
2023-07-29,48617.49,48744.90,45420.92,47036.30
2023-07-30,46929.58,48069.71,44161.24,44509.10
2023-07-31,44363.01,44706.72,42431.98,42972.69
2023-08-01,42432.92,44273.01,42026.92,43899.40
2023-08-02,43002.50,44885.74,42506.95,44872.90
2023-08-03,44825.85,46037.23,44094.44,45492.65
2023-08-04,45505.43,46096.06,44002.18,44203.01
2023-08-05,43718.58,43896.65,41497.03,42072.47
2023-08-06,42265.71,42909.11,41217.10,41491.92
2023-08-07,41128.23,41337.01,39359.50,40272.30
