date,open,high,low,close
2023-01-02,15010.28,15159.44,14647.19,14682.17
2023-01-03,14619.11,14686.37,14179.60,14261.56
2023-01-04,14265.66,14323.61,13966.07,14080.30
2023-01-05,14022.36,14178.00,14012.19,14159.39
2023-01-06,14121.04,14224.92,14092.18,14182.30
2023-01-09,14203.21,14345.74,14142.98,14166.90
2023-01-10,14143.17,14227.62,13948.06,14054.49
2023-01-11,14003.18,14036.09,13842.35,14020.07
2023-01-12,13949.86,13964.20,13793.65,13886.39
2023-01-13,13896.39,13932.29,13685.85,13771.53
2023-01-16,13768.99,14131.18,13758.10,14035.50
2023-01-17,14108.81,14127.61,13941.05,13982.35
2023-01-18,13958.74,14194.36,13874.31,14142.66
2023-01-19,14185.09,14268.82,14179.69,14248.59
2023-01-20,14259.80,14355.90,14211.33,14291.27
2023-01-23,14327.78,14354.46,14268.81,14345.10
2023-01-24,14378.80,14558.71,14214.78,14237.86
2023-01-25,14247.13,14393.57,14081.00,14392.30
2023-01-26,14416.27,14449.07,14297.61,14333.59
2023-01-27,14295.75,14361.32,14136.72,14163.60
2023-01-30,14134.17,14265.69,14035.56,14075.31
2023-01-31,14015.45,14416.04,13936.21,14321.95
2023-02-01,14324.32,14380.50,14220.85,14366.81
2023-02-02,14296.49,14368.31,13975.95,14044.88
2023-02-03,14002.37,14250.04,13942.91,14120.60
2023-02-06,14177.58,14227.26,13923.94,14023.59
2023-02-07,13990.80,14114.52,13786.06,14079.37
2023-02-08,14074.07,14220.02,14010.15,14030.24
2023-02-09,14015.98,14054.82,13919.56,13967.56
2023-02-10,13958.74,14051.67,13907.37,14032.30
2023-02-13,13982.13,14029.14,13879.44,13906.70
2023-02-14,13852.31,13915.19,13811.61,13841.88
2023-02-15,13825.99,13916.96,13544.18,13584.45
2023-02-16,13624.08,13709.31,13440.98,13442.27
2023-02-17,13452.84,13511.31,13385.36,13401.82
2023-02-20,13406.24,13467.08,13187.00,13257.26
2023-02-21,13182.32,13204.89,13115.54,13136.86
2023-02-22,13118.38,13225.15,12926.70,13113.83
2023-02-23,13096.87,13167.91,12967.79,13013.77
2023-02-24,12993.83,13112.33,12961.56,13050.65
2023-02-27,13087.43,13153.26,13074.53,13095.98
2023-02-28,13046.13,13361.03,13045.83,13209.98
2023-03-01,13250.12,13298.68,12933.14,12968.88
2023-03-02,12950.66,13090.28,12863.12,12933.48
2023-03-03,12981.13,13060.92,12950.31,12970.99
2023-03-06,12912.00,13142.50,12899.01,13137.22
2023-03-07,13130.53,13179.65,12864.79,12965.68
2023-03-08,12955.59,13134.15,12931.99,13097.78
2023-03-09,13091.33,13110.46,13016.84,13098.06
2023-03-10,13109.94,13241.83,13061.64,13153.10
2023-03-13,13122.25,13130.66,13023.76,13026.64
2023-03-14,13018.56,13046.99,12885.04,12924.38
2023-03-15,12973.57,12991.65,12811.23,12811.94
2023-03-16,12859.33,12980.87,12807.75,12935.99
2023-03-17,12954.00,13122.02,12889.02,13084.37
2023-03-20,13042.23,13316.93,13030.28,13191.41
2023-03-21,13170.34,13446.16,13159.04,13363.17
2023-03-22,13332.16,13409.63,13283.97,13357.27
2023-03-23,13354.75,13655.88,13336.77,13576.17
2023-03-24,13560.37,13607.76,13456.07,13479.56
2023-03-27,13452.35,13586.21,13444.16,13559.91
2023-03-28,13490.81,13530.74,13378.88,13413.10
2023-03-29,13420.72,13486.03,13221.66,13277.30
2023-03-30,13297.75,13464.37,13225.87,13431.43
2023-03-31,13341.89,13576.55,13301.11,13534.75
2023-04-03,13559.67,13560.53,13285.22,13363.78
2023-04-04,13300.10,13334.14,13243.89,13245.67
2023-04-05,13286.82,13289.24,13207.19,13251.57
2023-04-06,13226.07,13328.85,13193.90,13257.85
2023-04-11,13361.26,13463.30,13145.02,13301.64
2023-04-12,13288.08,13346.12,13267.47,13281.37
2023-04-13,13268.01,13364.58,13261.95,13357.33
2023-04-14,13321.96,13690.09,13244.82,13591.95
2023-04-17,13590.71,13687.09,13563.29,13647.93
2023-04-18,13692.29,13740.54,13595.77,13645.71
2023-04-19,13657.60,13858.03,13559.09,13619.97
