date,open,high,low,close
2023-01-02,2504.37,2511.45,2360.00,2377.22
2023-01-03,2396.40,2406.57,2239.64,2351.44
2023-01-04,2352.65,2503.70,2341.10,2419.43
2023-01-05,2393.56,2422.27,2323.98,2339.08
2023-01-06,2311.80,2433.24,2259.45,2328.91
2023-01-07,2314.73,2374.16,2223.71,2289.29
2023-01-08,2306.73,2363.88,2255.18,2353.93
2023-01-09,2373.25,2407.79,2358.51,2403.88
2023-01-10,2382.53,2472.14,2373.98,2418.53
2023-01-11,2423.06,2515.57,2412.44,2473.86
2023-01-12,2468.94,2487.00,2379.47,2388.09
2023-01-13,2402.62,2447.06,2380.10,2437.18
2023-01-14,2442.44,2495.38,2289.51,2329.02
2023-01-15,2307.69,2337.52,2252.23,2323.83
2023-01-16,2353.98,2412.27,2340.19,2344.05
2023-01-17,2326.13,2381.39,2238.81,2298.47
2023-01-18,2274.56,2323.46,2112.86,2176.71
2023-01-19,2146.17,2177.47,2040.66,2075.87
2023-01-20,2054.34,2226.46,2041.22,2186.54
2023-01-21,2160.57,2217.98,2127.80,2183.09
2023-01-22,2138.08,2255.46,2137.81,2242.63
2023-01-23,2224.49,2357.28,2198.85,2341.71
2023-01-24,2300.88,2454.20,2295.78,2435.27
2023-01-25,2448.68,2548.16,2418.66,2545.67
2023-01-26,2517.72,2551.17,2445.33,2516.26
2023-01-27,2512.49,2587.64,2473.10,2540.31
2023-01-28,2525.78,2669.16,2475.84,2614.05
2023-01-29,2605.41,2634.04,2478.87,2557.47
2023-01-30,2577.19,2748.32,2514.81,2664.22
2023-01-31,2638.46,2674.47,2466.12,2498.74
2023-02-01,2479.04,2659.55,2468.71,2653.69
2023-02-02,2664.94,2666.39,2493.12,2523.55
2023-02-03,2513.06,2735.35,2497.61,2605.77
2023-02-04,2611.95,2656.73,2369.55,2458.08
2023-02-05,2468.44,2631.10,2435.52,2521.67
2023-02-06,2553.51,2570.08,2385.60,2438.72
2023-02-07,2414.04,2475.44,2330.54,2449.15
2023-02-08,2407.81,2434.98,2203.66,2270.26
2023-02-09,2248.60,2356.87,2202.20,2263.35
2023-02-10,2255.76,2278.31,2178.65,2260.74
2023-02-11,2223.58,2455.36,2222.46,2352.27
2023-02-12,2376.10,2425.13,2140.21,2168.09
2023-02-13,2141.24,2186.95,2099.34,2175.92
2023-02-14,2172.77,2326.50,2083.69,2309.34
2023-02-15,2313.58,2413.16,2277.63,2320.33
2023-02-16,2351.55,2426.25,2289.86,2398.12
2023-02-17,2397.20,2486.71,2375.67,2472.01
2023-02-18,2459.32,2520.77,2373.92,2428.91
2023-02-19,2414.71,2435.33,2361.31,2422.06
2023-02-20,2452.31,2556.48,2420.56,2526.13
2023-02-21,2537.06,2576.23,2524.21,2536.85
2023-02-22,2515.56,2589.75,2416.01,2546.41
2023-02-23,2547.88,2574.37,2480.72,2521.50
2023-02-24,2567.83,2633.71,2470.06,2488.98
2023-02-25,2494.18,2593.24,2469.95,2513.63
