date,open,high,low,close,bid,ask
2023-01-02,1.07946,1.08116,1.07409,1.08081,1.08078,1.08084
2023-01-03,1.08271,1.09153,1.08002,1.09091,1.09088,1.09094
2023-01-04,1.09259,1.09548,1.08360,1.08566,1.08563,1.08569
2023-01-05,1.08534,1.08568,1.08040,1.08464,1.08461,1.08467
2023-01-06,1.08343,1.09507,1.07975,1.09258,1.09255,1.09261
2023-01-09,1.09437,1.10037,1.09054,1.09543,1.09540,1.09546
2023-01-10,1.09583,1.10882,1.09371,1.10697,1.10694,1.10700
2023-01-11,1.10937,1.11504,1.10566,1.11495,1.11492,1.11498
2023-01-12,1.11592,1.12357,1.11442,1.12170,1.12167,1.12173
2023-01-13,1.12209,1.12558,1.11935,1.12289,1.12286,1.12292
2023-01-16,1.12297,1.13091,1.12110,1.13072,1.13069,1.13075
2023-01-17,1.12932,1.14924,1.12729,1.14098,1.14095,1.14101
2023-01-18,1.14145,1.14299,1.14013,1.14175,1.14172,1.14178
2023-01-19,1.14147,1.14831,1.13693,1.14487,1.14484,1.14490
2023-01-20,1.14506,1.15041,1.14474,1.14772,1.14769,1.14775
2023-01-23,1.14807,1.15718,1.14726,1.15665,1.15662,1.15668
2023-01-24,1.15729,1.16329,1.15663,1.15914,1.15911,1.15917
2023-01-25,1.16239,1.16752,1.15505,1.15859,1.15856,1.15862
2023-01-26,1.15944,1.16060,1.15591,1.15949,1.15946,1.15952
2023-01-27,1.15898,1.16485,1.15670,1.16212,1.16209,1.16215
2023-01-30,1.16259,1.16267,1.14628,1.15248,1.15245,1.15251
2023-01-31,1.15398,1.15759,1.15006,1.15011,1.15008,1.15014
2023-02-01,1.14706,1.14888,1.14625,1.14762,1.14759,1.14765
2023-02-02,1.15032,1.15242,1.14817,1.15195,1.15192,1.15198
2023-02-03,1.14962,1.16224,1.14907,1.16091,1.16088,1.16094
2023-02-06,1.16288,1.17237,1.16128,1.17087,1.17083,1.17091
2023-02-07,1.17012,1.17775,1.16938,1.17423,1.17419,1.17427
2023-02-08,1.17381,1.17955,1.16962,1.17188,1.17184,1.17192
2023-02-09,1.16985,1.17631,1.16541,1.17355,1.17351,1.17359
2023-02-10,1.17406,1.17871,1.16990,1.17784,1.17780,1.17788
2023-02-13,1.17818,1.18039,1.17416,1.17507,1.17503,1.17511
2023-02-14,1.17379,1.17828,1.16560,1.17056,1.17052,1.17060
2023-02-15,1.17070,1.17660,1.16162,1.16630,1.16627,1.16633
2023-02-16,1.16710,1.16849,1.15352,1.15410,1.15407,1.15413
2023-02-17,1.15350,1.15425,1.13958,1.14141,1.14138,1.14144
2023-02-20,1.14392,1.15590,1.14086,1.15351,1.15348,1.15354
2023-02-21,1.14989,1.15193,1.14662,1.15148,1.15145,1.15151
2023-02-22,1.15236,1.15556,1.15175,1.15330,1.15327,1.15333
2023-02-23,1.15230,1.15820,1.15214,1.15809,1.15806,1.15812
2023-02-24,1.16046,1.16918,1.15978,1.16680,1.16676,1.16684
2023-02-27,1.16579,1.17144,1.16011,1.16241,1.16238,1.16244
2023-02-28,1.16233,1.16510,1.15240,1.15336,1.15333,1.15339
2023-03-01,1.15268,1.15863,1.14894,1.15008,1.15005,1.15011
2023-03-02,1.14848,1.15038,1.14785,1.14974,1.14971,1.14977
2023-03-03,1.15029,1.15202,1.14551,1.14642,1.14639,1.14645
2023-03-06,1.14555,1.14798,1.14308,1.14644,1.14641,1.14647
2023-03-07,1.14206,1.14303,1.14108,1.14143,1.14140,1.14146
2023-03-08,1.14259,1.14648,1.12939,1.13010,1.13007,1.13013
2023-03-09,1.13033,1.13703,1.12890,1.13273,1.13270,1.13276
2023-03-10,1.13567,1.13646,1.12524,1.12596,1.12593,1.12599
2023-03-13,1.12585,1.13509,1.12553,1.13359,1.13356,1.13362
2023-03-14,1.13041,1.13889,1.12869,1.13878,1.13875,1.13881
2023-03-15,1.14084,1.14421,1.13265,1.13527,1.13524,1.13530
2023-03-16,1.13500,1.13766,1.12964,1.13076,1.13073,1.13079
2023-03-17,1.13189,1.13505,1.12995,1.13055,1.13052,1.13058
2023-03-20,1.12975,1.13649,1.12958,1.13171,1.13168,1.13174
2023-03-21,1.13023,1.13203,1.12647,1.13149,1.13146,1.13152
2023-03-22,1.13150,1.13514,1.12863,1.13053,1.13050,1.13056
2023-03-23,1.13214,1.14582,1.12944,1.14121,1.14118,1.14124
2023-03-24,1.14008,1.14062,1.13413,1.13445,1.13442,1.13448
2023-03-27,1.13343,1.13516,1.12873,1.13108,1.13105,1.13111
2023-03-28,1.13126,1.14123,1.12722,1.13846,1.13843,1.13849
2023-03-29,1.13710,1.15103,1.13665,1.14975,1.14972,1.14978
2023-03-30,1.15233,1.15459,1.14808,1.14849,1.14846,1.14852
2023-03-31,1.15041,1.16068,1.14949,1.15694,1.15691,1.15697
2023-04-03,1.15555,1.15662,1.14918,1.15451,1.15448,1.15454
2023-04-04,1.15361,1.16033,1.15171,1.15294,1.15291,1.15297
2023-04-05,1.15275,1.15310,1.14973,1.15081,1.15078,1.15084
2023-04-06,1.14858,1.15320,1.14360,1.15237,1.15234,1.15240
2023-04-07,1.15060,1.16855,1.14598,1.16778,1.16774,1.16782
2023-04-10,1.16562,1.16725,1.16258,1.16529,1.16526,1.16532
2023-04-11,1.16567,1.16572,1.15686,1.16180,1.16177,1.16183
2023-04-12,1.16208,1.16463,1.15916,1.16085,1.16082,1.16088
2023-04-13,1.16067,1.16952,1.16058,1.16742,1.16738,1.16746
2023-04-14,1.16703,1.17323,1.16176,1.16913,1.16909,1.16917
2023-04-17,1.16966,1.16969,1.16391,1.16471,1.16468,1.16474
2023-04-18,1.16357,1.16606,1.16166,1.16532,1.16529,1.16535
2023-04-19,1.16720,1.17003,1.16096,1.16541,1.16538,1.16544
2023-04-20,1.16567,1.17160,1.15863,1.16080,1.16077,1.16083
2023-04-21,1.16252,1.16357,1.15648,1.15689,1.15686,1.15692
2023-04-24,1.15666,1.16066,1.15499,1.16018,1.16015,1.16021
2023-04-25,1.16059,1.17118,1.15317,1.16823,1.16819,1.16827
2023-04-26,1.16888,1.17685,1.16839,1.17291,1.17287,1.17295
2023-04-27,1.17326,1.17983,1.16734,1.17704,1.17700,1.17708
2023-04-28,1.17864,1.18534,1.17766,1.18153,1.18149,1.18157
2023-05-01,1.18133,1.18154,1.17170,1.17848,1.17844,1.17852
2023-05-02,1.17889,1.18035,1.17481,1.17694,1.17690,1.17698
2023-05-03,1.17582,1.17923,1.17323,1.17615,1.17611,1.17619
2023-05-04,1.17506,1.17797,1.16334,1.16808,1.16804,1.16812
2023-05-05,1.16723,1.16868,1.15565,1.15973,1.15970,1.15976
2023-05-08,1.15999,1.17269,1.15932,1.16717,1.16713,1.16721
2023-05-09,1.16725,1.17521,1.16646,1.17107,1.17103,1.17111
2023-05-10,1.17095,1.17234,1.16563,1.16569,1.16566,1.16572
2023-05-11,1.16403,1.16973,1.16398,1.16835,1.16831,1.16839
2023-05-12,1.16640,1.17617,1.16200,1.17497,1.17493,1.17501
2023-05-15,1.17349,1.17615,1.16046,1.16077,1.16074,1.16080
2023-05-16,1.15867,1.16949,1.15542,1.16627,1.16624,1.16630
2023-05-17,1.16685,1.17213,1.16378,1.17005,1.17001,1.17009
2023-05-18,1.17155,1.17614,1.17010,1.17169,1.17165,1.17173
2023-05-19,1.16903,1.17911,1.16850,1.17892,1.17888,1.17896
2023-05-22,1.18197,1.19058,1.18054,1.18663,1.18659,1.18667
2023-05-23,1.18745,1.18858,1.18018,1.18032,1.18028,1.18036
2023-05-24,1.17956,1.18387,1.17445,1.17799,1.17795,1.17803
2023-05-25,1.17551,1.18157,1.17116,1.17869,1.17865,1.17873
2023-05-26,1.18092,1.19149,1.17799,1.18652,1.18648,1.18656
2023-05-29,1.18293,1.18672,1.17849,1.18410,1.18406,1.18414
2023-05-30,1.18613,1.18710,1.17272,1.17492,1.17488,1.17496
2023-05-31,1.17478,1.17596,1.16732,1.17099,1.17095,1.17103
2023-06-01,1.17149,1.17611,1.16824,1.17496,1.17492,1.17500
2023-06-02,1.17563,1.17809,1.17423,1.17472,1.17468,1.17476
2023-06-05,1.17464,1.17760,1.16109,1.16389,1.16386,1.16392
2023-06-06,1.16612,1.17265,1.15348,1.15806,1.15803,1.15809
2023-06-07,1.15602,1.16340,1.15189,1.16310,1.16307,1.16313
2023-06-08,1.16503,1.16824,1.15258,1.15852,1.15849,1.15855
2023-06-09,1.15842,1.16518,1.15589,1.16172,1.16169,1.16175
2023-06-12,1.16126,1.16647,1.15266,1.15340,1.15337,1.15343
2023-06-13,1.15232,1.15415,1.14316,1.14445,1.14442,1.14448
2023-06-14,1.14651,1.15312,1.13770,1.13813,1.13810,1.13816
2023-06-15,1.13952,1.14062,1.13339,1.13986,1.13983,1.13989
2023-06-16,1.13688,1.14790,1.13463,1.14384,1.14381,1.14387
2023-06-19,1.14141,1.14349,1.13965,1.14306,1.14303,1.14309
2023-06-20,1.14528,1.15259,1.13890,1.14942,1.14939,1.14945
2023-06-21,1.15278,1.15901,1.14725,1.14822,1.14819,1.14825
2023-06-22,1.14665,1.14716,1.13917,1.14508,1.14505,1.14511
2023-06-23,1.14699,1.15082,1.14438,1.14443,1.14440,1.14446
2023-06-26,1.14413,1.15004,1.14342,1.14805,1.14802,1.14808
2023-06-27,1.14806,1.15145,1.14665,1.15136,1.15133,1.15139
2023-06-28,1.14943,1.15672,1.14838,1.15374,1.15371,1.15377
2023-06-29,1.15488,1.16258,1.15186,1.16115,1.16112,1.16118
2023-06-30,1.15999,1.16098,1.15912,1.16084,1.16081,1.16087
2023-07-03,1.16070,1.16299,1.15531,1.15572,1.15569,1.15575
2023-07-04,1.15480,1.17006,1.14997,1.16537,1.16534,1.16540
2023-07-05,1.16682,1.17557,1.16362,1.16594,1.16591,1.16597
2023-07-06,1.17001,1.17195,1.16997,1.17017,1.17013,1.17021
2023-07-07,1.17074,1.18334,1.16957,1.18061,1.18057,1.18065
2023-07-10,1.17974,1.18106,1.17674,1.17961,1.17957,1.17965
2023-07-11,1.17739,1.18816,1.17702,1.18317,1.18313,1.18321
2023-07-12,1.18356,1.18762,1.17232,1.17715,1.17711,1.17719
2023-07-13,1.17870,1.18293,1.17611,1.17767,1.17763,1.17771
2023-07-14,1.18116,1.18673,1.17406,1.17416,1.17412,1.17420
2023-07-17,1.17354,1.18570,1.17280,1.17852,1.17848,1.17856
2023-07-18,1.17858,1.17959,1.16875,1.16884,1.16880,1.16888
2023-07-19,1.17118,1.17626,1.16771,1.17252,1.17248,1.17256
2023-07-20,1.17475,1.18359,1.17269,1.18335,1.18331,1.18339
2023-07-21,1.18112,1.18509,1.17918,1.17923,1.17919,1.17927
2023-07-24,1.18021,1.18096,1.16966,1.17433,1.17429,1.17437
2023-07-25,1.17515,1.17647,1.16129,1.16668,1.16664,1.16672
2023-07-26,1.16843,1.16885,1.16184,1.16329,1.16326,1.16332
2023-07-27,1.16540,1.16763,1.16318,1.16628,1.16625,1.16631
2023-07-28,1.16750,1.17463,1.16552,1.17195,1.17191,1.17199
2023-07-31,1.17268,1.18226,1.17139,1.17782,1.17778,1.17786
2023-08-01,1.17593,1.17791,1.17513,1.17597,1.17593,1.17601
2023-08-02,1.17504,1.17596,1.16812,1.16862,1.16858,1.16866
2023-08-03,1.16573,1.17131,1.16404,1.16420,1.16417,1.16423
2023-08-04,1.16534,1.16693,1.15225,1.15756,1.15753,1.15759
2023-08-07,1.15722,1.15908,1.14692,1.14862,1.14859,1.14865
2023-08-08,1.15123,1.15365,1.14650,1.14785,1.14782,1.14788
2023-08-09,1.14846,1.15081,1.13526,1.13669,1.13666,1.13672
2023-08-10,1.13632,1.14149,1.12860,1.13024,1.13021,1.13027
2023-08-11,1.13411,1.13782,1.12783,1.12862,1.12859,1.12865
2023-08-14,1.12369,1.12800,1.12145,1.12756,1.12753,1.12759
2023-08-15,1.12750,1.13041,1.12394,1.12427,1.12424,1.12430
2023-08-16,1.12398,1.13464,1.12395,1.12738,1.12735,1.12741
2023-08-17,1.12800,1.13526,1.12554,1.12786,1.12783,1.12789
2023-08-18,1.12941,1.13505,1.11820,1.12178,1.12175,1.12181
2023-08-21,1.11868,1.12307,1.11302,1.11515,1.11512,1.11518
2023-08-22,1.11865,1.12188,1.11375,1.11523,1.11520,1.11526
2023-08-23,1.11547,1.11640,1.11000,1.11340,1.11337,1.11343
2023-08-24,1.11576,1.11680,1.11012,1.11101,1.11098,1.11104
2023-08-25,1.11046,1.11388,1.10666,1.11191,1.11188,1.11194
2023-08-28,1.11233,1.11332,1.10789,1.10916,1.10913,1.10919
2023-08-29,1.10997,1.11327,1.10793,1.11013,1.11010,1.11016
2023-08-30,1.10984,1.11205,1.10434,1.10515,1.10512,1.10518
2023-08-31,1.10499,1.10832,1.10312,1.10809,1.10806,1.10812
2023-09-01,1.10686,1.11318,1.09921,1.10342,1.10339,1.10345
2023-09-04,1.10451,1.10932,1.09822,1.10545,1.10542,1.10548
2023-09-05,1.10645,1.11049,1.09629,1.09657,1.09654,1.09660
2023-09-06,1.09756,1.10182,1.09262,1.09982,1.09979,1.09985
2023-09-07,1.10231,1.10287,1.09701,1.10173,1.10170,1.10176
2023-09-08,1.10067,1.11309,1.09892,1.11238,1.11235,1.11241
2023-09-11,1.11412,1.11435,1.11324,1.11349,1.11346,1.11352
2023-09-12,1.11298,1.12643,1.11271,1.12416,1.12413,1.12419
2023-09-13,1.12391,1.13057,1.12266,1.12746,1.12743,1.12749
2023-09-14,1.12863,1.13031,1.10894,1.11607,1.11604,1.11610
2023-09-15,1.11507,1.11755,1.10812,1.11699,1.11696,1.11702
2023-09-18,1.11805,1.12664,1.11620,1.12566,1.12563,1.12569
2023-09-19,1.12509,1.12750,1.11743,1.12179,1.12176,1.12182
2023-09-20,1.12080,1.12191,1.11830,1.11843,1.11840,1.11846
2023-09-21,1.11948,1.12166,1.11624,1.12076,1.12073,1.12079
2023-09-22,1.12199,1.12901,1.11872,1.12603,1.12600,1.12606
2023-09-25,1.12548,1.13186,1.12491,1.12920,1.12917,1.12923
2023-09-26,1.12668,1.13293,1.12383,1.12968,1.12965,1.12971
2023-09-27,1.12787,1.13599,1.12335,1.13470,1.13467,1.13473
2023-09-28,1.13540,1.13685,1.13076,1.13197,1.13194,1.13200
2023-09-29,1.13088,1.14704,1.12502,1.14363,1.14360,1.14366
2023-10-02,1.14560,1.14813,1.14526,1.14810,1.14807,1.14813
2023-10-03,1.14767,1.14844,1.14623,1.14666,1.14663,1.14669
2023-10-04,1.14342,1.14474,1.14252,1.14454,1.14451,1.14457
2023-10-05,1.14161,1.15454,1.13450,1.15118,1.15115,1.15121
2023-10-06,1.15038,1.15102,1.14526,1.14941,1.14938,1.14944
2023-10-09,1.15065,1.15172,1.14292,1.14512,1.14509,1.14515
2023-10-10,1.14541,1.14691,1.13155,1.13158,1.13155,1.13161
2023-10-11,1.13645,1.13838,1.11371,1.11469,1.11466,1.11472
2023-10-12,1.11684,1.12057,1.11272,1.11586,1.11583,1.11589
2023-10-13,1.11829,1.12577,1.11641,1.12002,1.11999,1.12005
2023-10-16,1.11900,1.12127,1.11813,1.11894,1.11891,1.11897
2023-10-17,1.11920,1.12548,1.11417,1.11534,1.11531,1.11537
2023-10-18,1.11448,1.11545,1.10224,1.10748,1.10745,1.10751
2023-10-19,1.10827,1.11305,1.10663,1.11024,1.11021,1.11027
2023-10-20,1.11057,1.11509,1.10695,1.10964,1.10961,1.10967
2023-10-23,1.11006,1.11282,1.10999,1.11187,1.11184,1.11190
2023-10-24,1.11202,1.11850,1.11164,1.11750,1.11747,1.11753
2023-10-25,1.11677,1.12036,1.11529,1.11851,1.11848,1.11854
2023-10-26,1.11515,1.11949,1.10925,1.10958,1.10955,1.10961
2023-10-27,1.11085,1.11399,1.10300,1.10589,1.10586,1.10592
2023-10-30,1.10391,1.11235,1.10166,1.10944,1.10941,1.10947
2023-10-31,1.10901,1.11830,1.10599,1.11430,1.11427,1.11433
2023-11-01,1.11456,1.12008,1.11195,1.11642,1.11639,1.11645
2023-11-02,1.11531,1.11597,1.11177,1.11268,1.11265,1.11271
2023-11-03,1.11056,1.12129,1.10694,1.11633,1.11630,1.11636
2023-11-06,1.11556,1.11628,1.10739,1.11099,1.11096,1.11102
2023-11-07,1.11246,1.12041,1.10680,1.10728,1.10725,1.10731
2023-11-08,1.10737,1.10779,1.10511,1.10593,1.10590,1.10596
2023-11-09,1.10340,1.10913,1.10302,1.10411,1.10408,1.10414
2023-11-10,1.10665,1.10889,1.09877,1.10200,1.10197,1.10203
2023-11-13,1.10144,1.10292,1.09165,1.09237,1.09234,1.09240
