date,open,high,low,close
2023-01-02,7582.62,7706.48,7537.47,7687.76
2023-01-03,7663.06,7744.10,7660.08,7737.49
2023-01-04,7732.79,7754.27,7708.86,7753.66
2023-01-05,7748.11,7774.29,7730.88,7740.10
2023-01-06,7755.20,7755.54,7736.78,7755.50
2023-01-09,7750.86,7858.99,7733.90,7810.96
2023-01-10,7837.63,7866.77,7817.24,7841.58
2023-01-11,7832.13,7911.69,7820.43,7909.12
2023-01-12,7882.48,7900.60,7836.76,7875.87
2023-01-13,7865.04,7933.86,7832.65,7915.45
2023-01-16,7916.09,7943.74,7845.30,7849.73
2023-01-17,7871.57,7883.51,7838.20,7840.25
2023-01-18,7851.18,7854.04,7782.73,7834.01
2023-01-19,7838.58,7944.42,7822.89,7914.62
2023-01-20,7919.84,7979.60,7907.84,7953.57
2023-01-23,7946.69,8016.26,7894.76,8004.26
2023-01-24,8025.31,8030.18,7926.04,7940.88
2023-01-25,7930.86,7939.19,7761.30,7825.77
2023-01-26,7786.52,7792.87,7732.05,7764.58
2023-01-27,7785.55,7848.16,7763.71,7809.49
2023-01-30,7806.67,7817.25,7788.89,7799.65
2023-01-31,7854.82,7886.54,7725.01,7771.22
2023-02-01,7793.86,7886.27,7756.66,7876.67
2023-02-02,7871.84,7890.18,7840.33,7875.84
2023-02-03,7870.26,7889.27,7862.58,7884.39
2023-02-06,7907.71,7944.17,7759.39,7809.46
2023-02-07,7802.40,7825.70,7692.20,7718.17
2023-02-08,7717.75,7796.24,7671.49,7791.00
2023-02-09,7806.10,7818.62,7776.79,7781.36
2023-02-10,7753.33,7765.81,7716.00,7741.09
2023-02-13,7746.94,7785.03,7678.59,7681.19
2023-02-14,7688.00,7752.06,7667.07,7725.21
2023-02-15,7714.56,7849.86,7678.08,7788.79
2023-02-16,7753.36,7890.52,7752.91,7872.22
2023-02-17,7884.03,7933.01,7809.35,7870.37
2023-02-20,7881.65,7981.67,7842.18,7945.06
2023-02-21,7934.72,7991.45,7927.45,7944.39
2023-02-22,7941.75,7981.29,7851.58,7858.52
2023-02-23,7850.94,7928.94,7834.14,7907.29
2023-02-24,7913.65,7991.95,7899.35,7990.27
2023-02-27,7993.50,8064.83,7956.80,8060.48
2023-02-28,8031.15,8184.34,8025.56,8159.52
2023-03-01,8159.59,8174.75,8127.47,8151.15
2023-03-02,8165.80,8204.45,8137.78,8154.93
2023-03-03,8175.53,8354.95,8120.03,8299.91
2023-03-06,8321.88,8356.69,8158.29,8189.58
2023-03-07,8172.43,8242.11,8118.55,8228.54
2023-03-08,8241.15,8274.16,8143.01,8182.62
2023-03-09,8187.29,8198.05,8179.25,8184.15
2023-03-10,8208.73,8247.40,8155.21,8164.17
2023-03-13,8182.62,8219.92,8175.57,8207.94
2023-03-14,8218.94,8244.26,8208.79,8224.01
2023-03-15,8216.37,8243.52,8137.75,8167.43
2023-03-16,8170.43,8171.32,8056.13,8080.01
2023-03-17,8056.09,8132.69,8035.47,8105.72
2023-03-20,8080.84,8116.75,8040.38,8066.44
2023-03-21,8013.70,8058.84,7958.48,8004.56
2023-03-22,7986.83,8100.18,7939.41,8051.65
2023-03-23,8041.88,8062.28,7998.40,8038.64
2023-03-24,8024.62,8025.39,7935.77,7968.81
2023-03-27,7994.11,7996.11,7900.89,7915.55
2023-03-28,7916.81,7958.32,7788.73,7852.64
