date,open,high,low,close,bid,ask
2023-01-02,1.12002,1.12045,1.11366,1.11605,1.11602,1.11608
2023-01-03,1.11614,1.11743,1.11319,1.11538,1.11535,1.11541
2023-01-04,1.11555,1.11612,1.11194,1.11388,1.11385,1.11391
2023-01-05,1.11265,1.12048,1.11231,1.12001,1.11998,1.12004
2023-01-06,1.12167,1.12317,1.12053,1.12113,1.12110,1.12116
2023-01-09,1.12111,1.12179,1.12076,1.12135,1.12132,1.12138
2023-01-10,1.12420,1.12555,1.12116,1.12231,1.12228,1.12234
2023-01-11,1.12091,1.13031,1.11855,1.13023,1.13020,1.13026
2023-01-12,1.13241,1.13689,1.13131,1.13317,1.13314,1.13320
2023-01-13,1.13244,1.13612,1.12963,1.13367,1.13364,1.13370
2023-01-16,1.13305,1.13706,1.13186,1.13610,1.13607,1.13613
2023-01-17,1.13773,1.13934,1.13086,1.13304,1.13301,1.13307
2023-01-18,1.13329,1.13553,1.13073,1.13161,1.13158,1.13164
2023-01-19,1.13159,1.13380,1.12573,1.12667,1.12664,1.12670
2023-01-20,1.12637,1.13569,1.12327,1.13413,1.13410,1.13416
2023-01-23,1.13520,1.13531,1.12979,1.12990,1.12987,1.12993
2023-01-24,1.12844,1.13757,1.12574,1.12904,1.12901,1.12907
2023-01-25,1.12833,1.13240,1.12707,1.12717,1.12714,1.12720
2023-01-26,1.12745,1.13149,1.12040,1.12059,1.12056,1.12062
2023-01-27,1.12004,1.12391,1.11480,1.11722,1.11719,1.11725
2023-01-30,1.11681,1.12212,1.11505,1.12117,1.12114,1.12120
2023-01-31,1.12107,1.12278,1.11808,1.12004,1.12001,1.12007
2023-02-01,1.12100,1.12996,1.11615,1.12968,1.12965,1.12971
2023-02-02,1.12965,1.13027,1.12655,1.12715,1.12712,1.12718
2023-02-03,1.12708,1.12751,1.11853,1.12241,1.12238,1.12244
2023-02-06,1.11897,1.12151,1.11559,1.11731,1.11728,1.11734
2023-02-07,1.11837,1.12071,1.11649,1.12027,1.12024,1.12030
2023-02-08,1.11869,1.12230,1.11778,1.12183,1.12180,1.12186
2023-02-09,1.12253,1.12785,1.12053,1.12779,1.12776,1.12782
2023-02-10,1.12756,1.13233,1.12701,1.12899,1.12896,1.12902
