date,open,high,low,close,bid,ask
2023-01-02,1.27199,1.27686,1.27018,1.27344,1.27340,1.27348
2023-01-03,1.27155,1.29109,1.27144,1.28518,1.28514,1.28522
2023-01-04,1.28392,1.28894,1.28279,1.28709,1.28705,1.28713
2023-01-05,1.28564,1.28847,1.27468,1.27917,1.27913,1.27921
2023-01-06,1.27825,1.27996,1.27302,1.27314,1.27310,1.27318
2023-01-09,1.27027,1.27342,1.25595,1.25963,1.25959,1.25967
2023-01-10,1.26050,1.26550,1.24719,1.24956,1.24952,1.24960
2023-01-11,1.25002,1.25038,1.24177,1.24497,1.24493,1.24501
2023-01-12,1.24393,1.25224,1.24309,1.24993,1.24989,1.24997
2023-01-13,1.25329,1.25746,1.25043,1.25475,1.25471,1.25479
2023-01-16,1.25324,1.25425,1.24811,1.25321,1.25317,1.25325
2023-01-17,1.25295,1.25370,1.24700,1.25340,1.25336,1.25344
2023-01-18,1.25220,1.25974,1.25026,1.25915,1.25911,1.25919
2023-01-19,1.25550,1.26075,1.25322,1.25768,1.25764,1.25772
2023-01-20,1.25844,1.26179,1.25373,1.25581,1.25577,1.25585
2023-01-23,1.25747,1.26082,1.24208,1.24616,1.24612,1.24620
2023-01-24,1.24548,1.24991,1.24239,1.24922,1.24918,1.24926
2023-01-25,1.25152,1.25361,1.24506,1.24583,1.24579,1.24587
2023-01-26,1.24745,1.24854,1.24668,1.24706,1.24702,1.24710
2023-01-27,1.24693,1.24791,1.24500,1.24536,1.24532,1.24540
2023-01-30,1.24636,1.25956,1.24438,1.25181,1.25177,1.25185
2023-01-31,1.25256,1.25283,1.24456,1.24538,1.24534,1.24542
2023-02-01,1.24794,1.24850,1.24071,1.24146,1.24142,1.24150
2023-02-02,1.24019,1.25108,1.23591,1.24996,1.24992,1.25000
2023-02-03,1.24992,1.25127,1.24620,1.24864,1.24860,1.24868
2023-02-06,1.24609,1.25802,1.24596,1.25712,1.25708,1.25716
2023-02-07,1.25737,1.25764,1.25571,1.25757,1.25753,1.25761
2023-02-08,1.25330,1.26170,1.25253,1.26056,1.26052,1.26060
2023-02-09,1.26191,1.26236,1.26101,1.26172,1.26168,1.26176
2023-02-10,1.26272,1.26825,1.25858,1.26724,1.26720,1.26728
2023-02-13,1.26883,1.27245,1.26865,1.27196,1.27192,1.27200
2023-02-14,1.27328,1.27722,1.26445,1.26860,1.26856,1.26864
2023-02-15,1.26963,1.27484,1.26400,1.27271,1.27267,1.27275
2023-02-16,1.27261,1.27453,1.26730,1.26775,1.26771,1.26779
2023-02-17,1.26994,1.27312,1.26556,1.26650,1.26646,1.26654
2023-02-20,1.26818,1.26945,1.25840,1.26473,1.26469,1.26477
2023-02-21,1.26418,1.26777,1.25549,1.25579,1.25575,1.25583
2023-02-22,1.25635,1.25905,1.25370,1.25558,1.25554,1.25562
2023-02-23,1.25613,1.25622,1.25125,1.25402,1.25398,1.25406
2023-02-24,1.25187,1.25392,1.24861,1.24996,1.24992,1.25000
2023-02-27,1.24704,1.25605,1.24555,1.25566,1.25562,1.25570
2023-02-28,1.25458,1.25530,1.25285,1.25504,1.25500,1.25508
2023-03-01,1.25442,1.25452,1.24801,1.24831,1.24827,1.24835
2023-03-02,1.24717,1.24780,1.24329,1.24593,1.24589,1.24597
