date,open,high,low,close
2023-01-02,1902.70,1920.24,1892.87,1894.23
2023-01-03,1894.38,1896.79,1885.52,1894.50
2023-01-04,1890.61,1897.80,1888.25,1896.11
2023-01-05,1893.31,1908.89,1871.78,1905.75
2023-01-06,1897.94,1904.70,1895.78,1904.50
2023-01-09,1891.08,1917.99,1890.81,1914.64
2023-01-10,1907.99,1910.22,1883.77,1890.80
2023-01-11,1894.45,1902.15,1880.88,1882.09
2023-01-12,1877.09,1878.72,1860.81,1868.96
2023-01-13,1867.12,1913.38,1863.68,1887.50
2023-01-16,1882.27,1922.71,1877.99,1898.50
2023-01-17,1900.37,1902.36,1890.18,1892.58
2023-01-18,1882.77,1916.29,1881.39,1913.93
2023-01-19,1914.75,1918.65,1887.57,1889.25
2023-01-20,1886.65,1910.43,1884.34,1902.35
2023-01-23,1902.98,1907.12,1893.31,1897.30
2023-01-24,1901.58,1905.12,1885.33,1891.95
2023-01-25,1888.74,1895.84,1887.67,1893.31
2023-01-26,1893.66,1894.37,1871.26,1872.13
2023-01-27,1877.63,1880.35,1867.23,1870.11
2023-01-30,1872.00,1872.20,1865.65,1870.40
2023-01-31,1867.55,1901.94,1854.77,1899.59
2023-02-01,1901.39,1918.80,1892.04,1917.75
2023-02-02,1923.42,1937.32,1919.04,1933.32
2023-02-03,1940.33,1965.37,1937.93,1952.68
2023-02-06,1960.27,1964.70,1954.28,1964.59
2023-02-07,1967.01,1976.17,1948.12,1958.80
2023-02-08,1961.51,1968.97,1908.28,1920.99
2023-02-09,1930.45,1941.85,1928.88,1938.02
2023-02-10,1932.76,1942.03,1916.99,1940.73
2023-02-13,1940.75,1941.97,1929.17,1934.09
2023-02-14,1933.05,1949.15,1919.93,1943.25
2023-02-15,1939.91,1947.12,1930.75,1932.51
2023-02-16,1934.37,1937.92,1930.53,1934.62
2023-02-17,1935.42,1952.58,1921.05,1925.21
2023-02-20,1924.23,1926.49,1904.85,1907.29
2023-02-21,1910.15,1918.34,1884.54,1886.95
2023-02-22,1887.02,1890.97,1870.78,1882.08
2023-02-23,1883.86,1915.50,1877.82,1908.54
2023-02-24,1899.18,1904.56,1893.06,1899.71
2023-02-27,1899.22,1904.09,1876.82,1883.02
2023-02-28,1886.13,1892.06,1881.38,1890.46
2023-03-01,1890.93,1902.41,1879.01,1894.30
2023-03-02,1897.63,1899.83,1856.37,1859.25
2023-03-03,1860.78,1866.04,1849.97,1863.56
2023-03-06,1863.87,1882.26,1856.73,1873.89
2023-03-07,1881.70,1888.34,1881.62,1883.73
2023-03-08,1885.03,1896.17,1872.13,1892.71
2023-03-09,1897.37,1898.42,1862.03,1875.21
2023-03-10,1874.80,1910.84,1871.80,1893.06
2023-03-13,1892.99,1895.16,1878.16,1886.63
2023-03-14,1884.43,1901.02,1859.01,1868.98
2023-03-15,1869.52,1901.86,1863.23,1892.36
2023-03-16,1891.05,1908.01,1888.95,1900.54
2023-03-17,1899.52,1927.42,1892.14,1924.03
2023-03-20,1926.86,1932.90,1908.14,1908.39
2023-03-21,1909.27,1967.45,1896.45,1959.79
2023-03-22,1955.83,2000.38,1949.96,1977.25
2023-03-23,1972.79,1986.35,1964.42,1978.46
2023-03-24,1972.44,1980.17,1966.70,1974.86
2023-03-27,1983.76,1992.58,1974.88,1991.47
2023-03-28,1981.81,1989.48,1979.19,1985.24
2023-03-29,1977.40,2016.20,1975.20,2005.66
2023-03-30,2005.00,2010.23,1965.26,1974.51
2023-03-31,1968.84,1979.28,1963.78,1967.15
2023-04-03,1964.46,1966.32,1955.11,1964.71
2023-04-04,1967.30,1970.62,1956.70,1965.29
2023-04-05,1966.16,1968.52,1964.59,1967.04
2023-04-06,1964.38,1973.07,1947.01,1956.54
2023-04-07,1952.81,1960.57,1939.72,1950.49
2023-04-10,1947.29,1978.86,1935.78,1960.88
2023-04-11,1962.51,1964.72,1960.67,1961.96
2023-04-12,1958.50,1975.78,1937.72,1946.07
2023-04-13,1941.16,1947.38,1926.53,1932.52
2023-04-14,1936.12,1938.69,1919.60,1928.09
2023-04-17,1926.70,1933.55,1923.29,1926.58
2023-04-18,1919.33,1923.24,1912.35,1919.73
2023-04-19,1920.76,1926.77,1903.79,1913.37
2023-04-20,1919.26,1932.87,1910.66,1923.52
2023-04-21,1915.01,1932.94,1907.55,1924.11
2023-04-24,1918.92,1945.14,1911.69,1941.26
2023-04-25,1943.45,1968.79,1922.86,1957.69
2023-04-26,1957.55,1990.57,1955.74,1974.25
2023-04-27,1973.02,2011.15,1961.70,1994.64
2023-04-28,1994.90,1995.22,1991.92,1994.80
2023-05-01,1986.86,2013.66,1984.70,2005.75
2023-05-02,2007.90,2008.64,1996.01,1996.29
2023-05-03,1985.79,1990.81,1981.08,1987.44
2023-05-04,1986.97,1992.43,1967.77,1972.32
2023-05-05,1971.20,1999.39,1963.74,1996.73
2023-05-08,1998.27,2015.87,1975.66,1991.16
2023-05-09,1985.66,1989.65,1970.39,1977.08
2023-05-10,1984.69,1987.71,1961.19,1975.02
2023-05-11,1967.09,2015.65,1965.89,2012.95
2023-05-12,2011.40,2029.02,2010.80,2024.96
2023-05-15,2025.09,2035.96,1996.30,1997.94
2023-05-16,2001.86,2010.67,1990.75,2004.04
2023-05-17,2007.59,2018.58,1970.90,1983.26
2023-05-18,1986.27,1996.14,1972.80,1981.77
2023-05-19,1981.90,1988.66,1970.27,1974.89
2023-05-22,1975.08,1994.97,1952.77,1964.07
2023-05-23,1959.08,1961.37,1948.59,1957.55
2023-05-24,1961.82,1977.04,1957.36,1977.02
2023-05-25,1976.48,1978.90,1961.82,1961.87
2023-05-26,1969.13,1971.54,1962.31,1964.76
2023-05-29,1964.09,1976.72,1930.02,1931.52
2023-05-30,1932.48,1933.17,1927.06,1930.68
2023-05-31,1925.63,1944.41,1921.75,1943.53
2023-06-01,1943.92,1954.51,1941.90,1943.67
2023-06-02,1945.02,1947.11,1923.38,1928.84
2023-06-05,1922.96,1933.07,1919.67,1931.87
2023-06-06,1936.84,1938.91,1922.83,1927.51
2023-06-07,1933.36,1959.27,1932.76,1954.02
2023-06-08,1947.12,1971.79,1941.08,1960.39
2023-06-09,1964.23,1973.54,1960.73,1971.37
2023-06-12,1973.61,1996.28,1973.54,1990.12
2023-06-13,1983.35,2001.49,1981.03,1993.58
2023-06-14,1989.31,2010.86,1978.13,2007.30
2023-06-15,2011.99,2016.22,1994.93,2011.41
2023-06-16,2012.34,2028.03,2003.84,2024.93
2023-06-19,2026.35,2031.45,2018.87,2020.32
2023-06-20,2026.64,2033.10,1996.43,1997.88
2023-06-21,2001.01,2003.69,1998.90,2002.51
2023-06-22,1997.52,2013.81,1996.37,2008.37
