date,open,high,low,close,bid,ask
2023-01-02,0.61020,0.61107,0.60777,0.60954,0.60952,0.60956
2023-01-03,0.60838,0.61169,0.60834,0.61054,0.61052,0.61056
2023-01-04,0.61074,0.61125,0.60601,0.60772,0.60770,0.60774
2023-01-05,0.60736,0.60782,0.60472,0.60659,0.60657,0.60661
2023-01-06,0.60607,0.60952,0.60261,0.60303,0.60301,0.60305
2023-01-09,0.60184,0.60625,0.59981,0.60534,0.60532,0.60536
2023-01-10,0.60684,0.61199,0.60441,0.60849,0.60847,0.60851
2023-01-11,0.61068,0.61162,0.60922,0.60945,0.60943,0.60947
2023-01-12,0.60899,0.61049,0.60824,0.60930,0.60928,0.60932
2023-01-13,0.61051,0.61247,0.60887,0.61122,0.61120,0.61124
2023-01-16,0.61145,0.61423,0.61068,0.61354,0.61352,0.61356
2023-01-17,0.61412,0.61657,0.61386,0.61517,0.61515,0.61519
2023-01-18,0.61734,0.62028,0.61687,0.61830,0.61828,0.61832
2023-01-19,0.61861,0.62117,0.61768,0.62081,0.62079,0.62083
2023-01-20,0.62092,0.62146,0.61544,0.61705,0.61703,0.61707
2023-01-23,0.61808,0.61816,0.61437,0.61523,0.61521,0.61525
2023-01-24,0.61497,0.62227,0.61442,0.62176,0.62174,0.62178
2023-01-25,0.62238,0.62893,0.62102,0.62342,0.62340,0.62344
2023-01-26,0.62293,0.62619,0.61963,0.62018,0.62016,0.62020
2023-01-27,0.62114,0.62197,0.61895,0.62079,0.62077,0.62081
2023-01-30,0.62173,0.62525,0.61903,0.62360,0.62358,0.62362
2023-01-31,0.62368,0.62594,0.61839,0.62158,0.62156,0.62160
2023-02-01,0.62418,0.62424,0.61588,0.61763,0.61761,0.61765
2023-02-02,0.61736,0.62272,0.61572,0.62072,0.62070,0.62074
2023-02-03,0.62163,0.62188,0.61651,0.61705,0.61703,0.61707
2023-02-06,0.61539,0.61982,0.61285,0.61905,0.61903,0.61907
2023-02-07,0.61926,0.62609,0.61906,0.62416,0.62414,0.62418
2023-02-08,0.62251,0.63362,0.62136,0.63334,0.63332,0.63336
2023-02-09,0.63519,0.63696,0.63162,0.63347,0.63345,0.63349
2023-02-10,0.63534,0.63536,0.62963,0.63062,0.63060,0.63064
2023-02-13,0.62939,0.62946,0.62432,0.62506,0.62504,0.62508
2023-02-14,0.62276,0.62616,0.62058,0.62586,0.62584,0.62588
2023-02-15,0.62532,0.62705,0.61723,0.61903,0.61901,0.61905
2023-02-16,0.61929,0.61991,0.61485,0.61828,0.61826,0.61830
2023-02-17,0.61626,0.61741,0.61310,0.61468,0.61466,0.61470
2023-02-20,0.61388,0.62013,0.61376,0.61711,0.61709,0.61713
2023-02-21,0.61700,0.61882,0.61576,0.61755,0.61753,0.61757
2023-02-22,0.61785,0.61811,0.61552,0.61765,0.61763,0.61767
2023-02-23,0.61668,0.62702,0.61175,0.62637,0.62635,0.62639
2023-02-24,0.62687,0.63029,0.62374,0.62884,0.62882,0.62886
2023-02-27,0.62958,0.63130,0.62124,0.62230,0.62228,0.62232
2023-02-28,0.62114,0.62569,0.61773,0.62498,0.62496,0.62500
2023-03-01,0.62534,0.62823,0.62438,0.62781,0.62779,0.62783
2023-03-02,0.62737,0.62975,0.62580,0.62778,0.62776,0.62780
2023-03-03,0.62703,0.63114,0.62505,0.63056,0.63054,0.63058
2023-03-06,0.63064,0.63424,0.62653,0.63088,0.63086,0.63090
2023-03-07,0.63159,0.63278,0.62964,0.62969,0.62967,0.62971
2023-03-08,0.63008,0.63110,0.62846,0.63002,0.63000,0.63004
2023-03-09,0.62973,0.63050,0.62659,0.62809,0.62807,0.62811
2023-03-10,0.62956,0.63184,0.62593,0.62615,0.62613,0.62617
2023-03-13,0.62726,0.62815,0.62401,0.62463,0.62461,0.62465
2023-03-14,0.62312,0.63151,0.61962,0.63060,0.63058,0.63062
2023-03-15,0.63072,0.63075,0.62944,0.63011,0.63009,0.63013
2023-03-16,0.63045,0.63184,0.62419,0.62426,0.62424,0.62428
2023-03-17,0.62315,0.62372,0.61951,0.61982,0.61980,0.61984
2023-03-20,0.62002,0.62290,0.61699,0.61767,0.61765,0.61769
2023-03-21,0.61818,0.62239,0.61019,0.61264,0.61262,0.61266
2023-03-22,0.61254,0.61329,0.60799,0.61005,0.61003,0.61007
2023-03-23,0.61006,0.61216,0.60247,0.60491,0.60489,0.60493
2023-03-24,0.60649,0.60678,0.60138,0.60399,0.60397,0.60401
2023-03-27,0.60349,0.60590,0.60284,0.60561,0.60559,0.60563
2023-03-28,0.60417,0.60424,0.59834,0.60200,0.60198,0.60202
2023-03-29,0.60343,0.60555,0.60096,0.60455,0.60453,0.60457
2023-03-30,0.60360,0.60526,0.60231,0.60485,0.60483,0.60487
2023-03-31,0.60577,0.61050,0.60122,0.60418,0.60416,0.60420
2023-04-03,0.60250,0.60673,0.60081,0.60619,0.60617,0.60621
2023-04-04,0.60691,0.60932,0.60477,0.60623,0.60621,0.60625
2023-04-05,0.60632,0.60954,0.60566,0.60832,0.60830,0.60834
2023-04-06,0.60860,0.61034,0.60679,0.60952,0.60950,0.60954
2023-04-07,0.61171,0.61239,0.60927,0.60959,0.60957,0.60961
2023-04-10,0.60948,0.61026,0.60899,0.61023,0.61021,0.61025
2023-04-11,0.61197,0.61538,0.61025,0.61395,0.61393,0.61397
2023-04-12,0.61400,0.61761,0.61333,0.61586,0.61584,0.61588
2023-04-13,0.61555,0.61559,0.61325,0.61347,0.61345,0.61349
2023-04-14,0.61265,0.61387,0.60723,0.60996,0.60994,0.60998
2023-04-17,0.61090,0.61163,0.60784,0.61116,0.61114,0.61118
2023-04-18,0.61118,0.61383,0.61057,0.61167,0.61165,0.61169
2023-04-19,0.61222,0.61584,0.60971,0.61390,0.61388,0.61392
2023-04-20,0.61359,0.61616,0.61303,0.61433,0.61431,0.61435
2023-04-21,0.61445,0.61491,0.61297,0.61380,0.61378,0.61382
2023-04-24,0.61278,0.61619,0.60998,0.61478,0.61476,0.61480
2023-04-25,0.61400,0.61588,0.60805,0.61155,0.61153,0.61157
