date,open,high,low,close
2023-01-03,33051.74,33063.34,32858.21,32901.18
2023-01-04,33112.68,33231.17,32856.97,32881.87
2023-01-05,32974.02,33436.77,32733.30,33106.36
2023-01-06,33139.40,33341.43,32302.50,32357.30
2023-01-10,32406.75,32687.07,31990.23,32230.57
2023-01-11,32210.16,32353.72,31902.45,32070.60
2023-01-12,32239.52,32581.78,32164.93,32169.22
2023-01-13,32103.15,33092.41,31989.80,32909.71
2023-01-16,33036.67,33117.16,32897.31,32987.87
2023-01-17,32890.00,33738.53,32574.04,33707.61
2023-01-18,33702.93,33878.98,32834.69,32972.97
2023-01-19,32878.69,33394.21,32734.63,33315.98
2023-01-20,33305.39,33573.46,32777.81,32957.38
2023-01-23,32913.83,32991.97,32550.33,32820.74
2023-01-24,32850.85,33507.33,32780.63,33395.98
2023-01-25,33194.74,33580.77,33102.93,33186.91
2023-01-26,33136.53,33351.08,32403.40,32601.89
2023-01-27,32336.08,32446.82,32330.62,32377.33
2023-01-30,32304.80,32402.42,31793.71,31940.51
2023-01-31,32001.58,32234.42,31875.98,32153.95
2023-02-01,32057.45,32327.26,31639.56,31681.93
2023-02-02,31670.90,32088.04,31573.52,31938.02
2023-02-03,31957.94,32297.06,31307.16,31745.50
2023-02-06,31704.92,32471.32,31608.07,31903.58
2023-02-07,31770.79,31965.74,31686.68,31784.79
2023-02-08,31815.58,31976.84,31296.15,31500.14
2023-02-09,31596.67,31610.75,30927.23,30947.74
2023-02-10,30900.95,31134.20,30630.95,30940.23
2023-02-13,30908.80,31035.77,30456.04,30677.87
2023-02-14,30478.27,31020.14,30106.87,30884.93
2023-02-15,30750.30,31059.12,30720.14,30881.95
2023-02-16,30757.20,31016.78,30356.25,30870.08
2023-02-17,30934.39,31058.49,30817.64,30861.19
2023-02-20,30809.19,31232.87,30709.08,31059.85
2023-02-21,30803.24,31308.41,30763.44,31282.50
2023-02-22,31299.14,31527.51,31064.06,31145.02
2023-02-24,31167.83,31176.26,30946.20,31147.14
2023-02-27,31219.39,31236.68,30675.36,30705.76
2023-02-28,30746.55,31028.70,30687.80,30875.74
2023-03-01,30811.34,30864.55,30520.68,30540.15
2023-03-02,30663.10,30850.89,30566.15,30614.09
2023-03-03,30537.63,31057.56,30280.76,30545.74
2023-03-06,30605.33,30890.31,29994.75,29997.98
2023-03-07,29951.56,30024.31,29467.67,29557.82
2023-03-08,29608.83,29861.06,28701.43,28732.55
2023-03-09,28679.81,28999.00,28483.30,28695.41
2023-03-10,28619.42,28683.14,28146.98,28418.81
2023-03-13,28368.38,28494.27,28011.25,28225.62
2023-03-14,28287.67,28333.12,28099.86,28130.24
2023-03-15,28240.38,28445.06,27586.47,27811.61
2023-03-16,27667.41,28097.12,27582.09,28065.78
2023-03-17,28005.58,28219.11,27373.29,27378.15
2023-03-20,27401.42,27407.30,27225.62,27330.28
2023-03-21,27279.91,27670.25,27260.22,27635.94
2023-03-22,27686.07,27834.51,27322.42,27443.28
2023-03-23,27433.85,27918.25,27350.78,27914.98
2023-03-24,27945.49,28330.94,27742.51,28067.15
2023-03-27,28014.85,28170.33,28002.66,28006.98
2023-03-28,28111.67,28112.48,27705.16,27771.88
2023-03-29,27801.49,27895.02,27269.71,27307.71
2023-03-30,27270.43,27666.42,27162.62,27471.50
2023-03-31,27475.09,27673.12,27447.68,27638.04
2023-04-03,27600.58,27795.80,26978.86,27293.03
2023-04-04,27252.46,27472.90,27203.45,27452.52
2023-04-05,27549.89,27948.75,27517.31,27653.86
2023-04-06,27658.33,28068.02,27468.02,27946.32
2023-04-07,27848.88,27979.76,27835.85,27934.21
2023-04-10,27943.41,28178.80,27821.53,28129.93
2023-04-11,28165.60,28402.54,27746.33,27970.53
2023-04-12,28171.93,28193.05,27704.41,27970.97
2023-04-13,27885.22,28006.10,27419.51,27535.07
2023-04-14,27564.41,27760.07,27096.56,27127.54
2023-04-17,27208.30,27255.34,26933.71,26983.55
2023-04-18,27044.93,27153.53,26473.31,26694.58
2023-04-19,26799.74,27056.40,26772.17,26844.32
2023-04-20,26885.00,26975.01,26840.48,26970.51
2023-04-21,27060.55,27163.05,26874.80,27121.46
2023-04-24,27128.59,27222.80,26819.57,27064.83
2023-04-25,27094.44,27309.82,26852.78,27054.20
2023-04-26,27064.48,27366.98,26912.47,27311.58
2023-04-27,27249.46,27670.20,27189.62,27427.08
2023-04-28,27491.09,27557.96,27183.24,27200.51
2023-05-01,27136.42,27167.00,26765.16,26822.83
2023-05-02,26689.60,27106.39,26611.24,26922.84
2023-05-08,26871.97,27200.74,26619.70,26752.02
2023-05-09,26784.08,26909.60,26702.65,26891.98
2023-05-10,26769.19,27003.75,26595.87,26724.42
2023-05-11,26887.85,27239.48,26646.35,26727.45
2023-05-12,26882.53,26929.26,26627.18,26733.36
2023-05-15,26794.25,26995.74,25903.61,26101.24
2023-05-16,26245.59,26437.58,25716.11,25947.04
2023-05-17,25869.02,26035.31,25559.20,25668.80
2023-05-18,25650.89,26488.34,25578.94,26275.39
2023-05-19,26263.44,26878.48,26206.94,26699.84
2023-05-22,26720.02,26781.74,26319.63,26339.23
2023-05-23,26346.16,26383.65,25974.46,26291.28
2023-05-24,26296.15,26344.98,26112.02,26150.36
2023-05-25,26131.55,26255.74,25931.19,26097.80
2023-05-26,26115.93,26444.82,26093.39,26185.58
2023-05-29,26143.54,26373.25,26132.41,26223.77
2023-05-30,26380.31,26540.26,26312.74,26488.82
2023-05-31,26356.98,26741.23,26304.83,26512.77
2023-06-01,26707.36,26769.23,26020.42,26157.70
2023-06-02,25984.06,26450.02,25659.05,26298.39
2023-06-05,26396.07,26563.47,25736.32,25962.45
2023-06-06,26108.16,26307.70,25819.43,25972.36
2023-06-07,25847.46,26078.45,25699.38,25929.18
2023-06-08,25926.15,26015.14,25718.45,25985.17
2023-06-09,26043.45,26629.60,25884.29,26282.77
2023-06-12,26327.08,26754.95,26028.60,26623.85
2023-06-13,26596.93,26839.00,26357.36,26405.37
2023-06-14,26436.12,26854.21,26278.37,26745.09
2023-06-15,26820.59,27063.45,26571.34,26759.32
2023-06-16,26789.86,27047.10,26655.14,26720.47
2023-06-19,26729.20,26729.43,26159.13,26311.79
2023-06-20,26403.73,26419.62,25695.39,25778.01
2023-06-21,25856.69,26158.46,25532.73,25564.68
2023-06-22,25558.64,25579.95,24956.52,25212.95
2023-06-23,25277.32,25456.98,25003.77,25140.88
2023-06-26,25132.07,25213.39,24959.60,25074.62
2023-06-27,25058.47,25266.67,24911.13,25096.79
2023-06-28,25184.80,25539.84,25104.10,25319.01
2023-06-29,25279.22,25314.35,24995.49,25108.68
2023-06-30,25141.02,25236.03,24658.69,24862.21
2023-07-03,24960.81,25126.15,24731.15,24846.84
