date,open,high,low,close
2023-01-02,77.50,80.35,76.83,79.32
2023-01-03,78.67,79.48,77.07,79.22
2023-01-04,78.88,79.34,78.08,78.24
2023-01-05,78.18,78.86,78.03,78.51
2023-01-06,78.16,81.77,77.26,80.79
2023-01-09,80.22,81.03,78.81,79.11
2023-01-10,79.36,80.12,78.78,78.91
2023-01-11,79.42,82.68,79.09,81.60
2023-01-12,81.86,82.55,81.37,82.52
2023-01-13,82.58,84.40,81.65,83.51
2023-01-16,83.75,84.62,83.67,83.89
2023-01-17,83.38,83.53,81.13,81.81
2023-01-18,81.91,82.23,81.84,82.20
2023-01-19,82.13,82.13,79.68,80.52
2023-01-20,80.68,81.03,79.56,79.91
2023-01-23,80.25,81.67,80.07,81.59
2023-01-24,82.05,82.35,81.46,82.35
2023-01-25,82.42,83.58,82.26,82.97
2023-01-26,83.03,83.39,81.80,82.16
2023-01-27,81.64,81.70,80.55,80.65
2023-01-30,80.57,81.02,79.60,79.75
2023-01-31,80.12,80.24,78.76,79.04
2023-02-01,79.12,81.03,78.61,80.97
2023-02-02,80.42,81.07,80.13,80.38
2023-02-03,80.50,81.99,79.63,81.54
2023-02-06,82.05,82.54,81.86,82.37
2023-02-07,82.43,82.55,79.75,79.79
2023-02-08,79.50,80.70,78.60,78.61
2023-02-09,79.00,80.04,78.10,79.06
2023-02-10,79.25,79.90,78.95,79.70
2023-02-13,79.66,81.63,79.62,81.17
2023-02-14,81.34,82.18,80.44,81.82
2023-02-15,81.89,84.02,81.36,82.64
2023-02-16,82.79,83.82,81.86,82.24
2023-02-17,81.69,83.75,81.41,83.28
2023-02-20,83.59,83.92,83.32,83.62
2023-02-21,83.66,85.11,82.85,83.29
2023-02-22,83.61,83.74,81.57,82.94
2023-02-23,82.82,83.63,79.37,80.81
2023-02-24,80.27,82.50,79.16,81.69
2023-02-27,82.26,82.68,82.24,82.37
2023-02-28,82.42,83.78,81.62,83.49
2023-03-01,83.59,83.78,83.00,83.60
2023-03-02,83.36,85.34,82.73,84.59
2023-03-03,84.64,86.37,83.88,85.92
2023-03-06,85.96,87.68,85.11,86.77
2023-03-07,86.82,87.33,85.67,85.82
2023-03-08,85.28,85.85,84.99,85.39
2023-03-09,85.73,86.40,82.92,84.06
