date,open,high,low,close
2023-01-02,4515.79,4539.44,4383.88,4403.77
2023-01-03,4403.35,4421.80,4346.13,4379.45
2023-01-04,4396.05,4405.68,4365.26,4395.09
2023-01-05,4373.73,4440.32,4356.66,4424.19
2023-01-06,4417.66,4432.91,4415.75,4421.58
2023-01-09,4412.52,4444.58,4403.13,4441.31
2023-01-10,4462.99,4574.39,4445.01,4518.95
2023-01-11,4515.98,4557.76,4487.42,4491.59
2023-01-12,4510.46,4544.31,4404.81,4417.57
2023-01-13,4399.19,4430.65,4379.12,4380.88
2023-01-17,4384.06,4399.15,4339.43,4355.75
2023-01-18,4353.37,4381.78,4317.27,4356.81
2023-01-19,4353.75,4362.43,4302.91,4309.74
2023-01-20,4313.97,4318.05,4253.65,4275.60
2023-01-23,4254.12,4288.19,4226.38,4229.25
2023-01-24,4217.88,4232.08,4139.60,4141.68
2023-01-25,4135.88,4212.63,4122.13,4201.56
2023-01-26,4201.72,4203.54,4181.68,4190.61
2023-01-27,4193.63,4226.40,4165.15,4204.31
2023-01-30,4204.51,4228.90,4150.08,4171.49
2023-01-31,4175.56,4178.41,4139.98,4139.99
2023-02-01,4126.56,4130.75,4099.45,4121.70
2023-02-02,4137.83,4155.17,4112.64,4142.10
2023-02-03,4140.19,4171.15,4133.74,4135.22
2023-02-06,4134.79,4230.33,4125.90,4192.32
2023-02-07,4198.40,4202.92,4146.44,4147.92
2023-02-08,4167.88,4176.64,4162.96,4164.54
2023-02-09,4155.47,4161.23,4042.50,4078.50
2023-02-10,4089.39,4089.78,4067.69,4081.55
2023-02-13,4102.08,4120.87,4027.87,4040.67
2023-02-14,4024.54,4036.25,3987.33,3988.12
2023-02-15,4006.86,4023.73,3947.91,3961.75
2023-02-16,3959.95,3984.12,3955.53,3965.09
2023-02-17,3960.74,3963.04,3943.75,3957.65
2023-02-21,3952.39,3971.84,3926.36,3938.77
2023-02-22,3919.25,3920.69,3861.34,3865.48
2023-02-23,3858.65,3920.22,3843.54,3909.00
2023-02-24,3904.01,3906.92,3864.26,3889.29
2023-02-27,3892.44,3900.67,3842.71,3843.66
2023-02-28,3850.47,3865.73,3808.05,3821.77
2023-03-01,3826.93,3853.84,3821.77,3846.30
2023-03-02,3838.04,3846.70,3817.02,3820.60
2023-03-03,3823.79,3844.56,3692.85,3708.36
2023-03-06,3706.23,3730.30,3679.05,3728.59
2023-03-07,3727.31,3742.44,3700.21,3739.61
2023-03-08,3739.72,3755.72,3682.89,3718.03
2023-03-09,3716.30,3765.05,3706.06,3746.42
2023-03-10,3739.15,3762.31,3735.24,3761.29
2023-03-13,3778.50,3811.48,3732.74,3773.91
2023-03-14,3776.61,3807.43,3772.74,3801.14
2023-03-15,3793.90,3812.60,3745.43,3753.43
2023-03-16,3761.11,3775.97,3713.64,3719.81
2023-03-17,3723.37,3727.66,3658.08,3659.07
2023-03-20,3659.62,3698.51,3632.22,3678.66
2023-03-21,3684.06,3698.62,3651.24,3651.67
2023-03-22,3657.64,3666.27,3645.00,3661.92
2023-03-23,3663.07,3663.90,3611.13,3619.72
2023-03-24,3613.82,3677.58,3594.96,3629.33
2023-03-27,3638.01,3647.39,3577.03,3582.61
2023-03-28,3580.98,3595.77,3539.88,3571.31
2023-03-29,3550.09,3658.38,3549.23,3654.90
2023-03-30,3651.03,3680.59,3611.18,3617.01
2023-03-31,3615.01,3618.67,3582.71,3584.03
2023-04-03,3580.86,3582.36,3550.98,3556.78
2023-04-04,3559.05,3575.46,3547.32,3547.63
2023-04-05,3559.36,3565.51,3552.52,3565.21
2023-04-06,3540.47,3578.48,3539.79,3567.04
2023-04-07,3573.82,3579.10,3571.74,3576.06
2023-04-10,3573.13,3591.01,3566.05,3586.06
2023-04-11,3579.88,3617.13,3554.59,3615.13
2023-04-12,3614.49,3635.65,3557.99,3579.94
2023-04-13,3597.30,3641.15,3581.06,3633.28
2023-04-14,3622.61,3627.17,3568.39,3586.23
2023-04-17,3578.83,3627.23,3571.37,3610.27
2023-04-18,3598.41,3683.13,3573.74,3680.89
2023-04-19,3684.80,3693.02,3633.75,3650.09
2023-04-20,3639.89,3700.62,3623.28,3694.87
2023-04-21,3706.47,3713.16,3652.45,3669.27
2023-04-24,3684.37,3686.20,3606.62,3608.12
2023-04-25,3610.34,3622.83,3604.27,3614.07
2023-04-26,3616.37,3625.63,3563.13,3567.34
2023-04-27,3576.91,3585.58,3557.64,3570.04
2023-04-28,3569.52,3583.57,3530.82,3549.99
2023-05-01,3545.71,3563.44,3530.01,3547.89
2023-05-02,3552.08,3592.18,3532.83,3591.79
2023-05-03,3590.36,3606.86,3538.73,3565.21
2023-05-04,3577.59,3581.58,3512.70,3548.83
2023-05-05,3544.38,3572.54,3528.60,3539.80
2023-05-08,3532.35,3596.23,3522.47,3571.12
2023-05-09,3573.38,3574.79,3540.77,3555.72
2023-05-10,3567.28,3645.22,3541.69,3614.05
2023-05-11,3621.65,3640.53,3564.11,3592.78
2023-05-12,3590.64,3601.32,3568.56,3585.21
2023-05-15,3607.98,3611.08,3556.49,3574.65
2023-05-16,3581.38,3598.17,3556.50,3573.34
2023-05-17,3570.53,3582.38,3477.44,3499.51
2023-05-18,3500.45,3524.04,3418.56,3440.96
2023-05-19,3427.61,3442.65,3402.52,3439.48
2023-05-22,3425.36,3458.58,3397.13,3439.71
2023-05-23,3441.68,3469.16,3431.85,3444.15
2023-05-24,3450.51,3482.77,3436.42,3469.33
2023-05-25,3466.19,3519.34,3441.70,3516.96
2023-05-26,3516.39,3523.02,3512.92,3518.98
2023-05-30,3508.75,3569.80,3503.22,3564.65
2023-05-31,3558.35,3580.18,3540.52,3579.91
2023-06-01,3579.65,3586.45,3553.18,3562.21
2023-06-02,3556.44,3568.16,3544.69,3559.59
2023-06-05,3567.87,3677.36,3553.24,3648.87
2023-06-06,3656.63,3683.26,3643.22,3662.78
2023-06-07,3660.48,3702.14,3658.90,3683.12
2023-06-08,3693.77,3700.19,3650.69,3671.24
2023-06-09,3666.56,3741.76,3655.40,3706.89
2023-06-12,3702.28,3705.83,3693.20,3703.00
2023-06-13,3702.61,3746.18,3699.62,3723.67
2023-06-14,3753.07,3783.65,3631.98,3665.02
2023-06-15,3664.30,3685.59,3616.87,3646.14
2023-06-16,3646.40,3658.69,3573.09,3611.67
2023-06-19,3625.04,3671.08,3570.44,3589.45
2023-06-20,3583.82,3635.49,3557.71,3632.66
2023-06-21,3643.03,3648.82,3596.94,3604.14
2023-06-22,3600.93,3622.46,3573.99,3594.25
2023-06-23,3590.90,3639.84,3571.60,3636.80
2023-06-26,3631.42,3713.45,3610.72,3707.59
2023-06-27,3727.26,3744.06,3678.11,3685.93
2023-06-28,3689.83,3713.44,3662.42,3664.27
2023-06-29,3663.34,3731.83,3653.28,3726.39
2023-06-30,3706.31,3775.59,3682.05,3752.64
2023-07-03,3764.93,3790.81,3753.81,3762.20
2023-07-05,3756.48,3794.92,3753.66,3787.96
2023-07-06,3793.35,3799.50,3740.19,3764.57
2023-07-07,3765.71,3791.18,3761.50,3785.33
2023-07-10,3787.07,3801.10,3768.04,3784.18
2023-07-11,3812.03,3822.87,3778.95,3791.62
2023-07-12,3794.94,3803.98,3769.64,3794.06
2023-07-13,3792.27,3863.73,3780.68,3839.05
2023-07-14,3834.76,3853.27,3797.88,3817.16
2023-07-17,3829.15,3832.45,3805.92,3816.75
2023-07-18,3811.14,3818.15,3747.68,3767.35
2023-07-19,3762.90,3799.59,3739.14,3795.55
2023-07-20,3804.02,3829.94,3772.51,3776.93
2023-07-21,3767.54,3768.75,3721.95,3736.07
2023-07-24,3751.01,3752.58,3698.06,3721.85
2023-07-25,3722.36,3787.69,3721.01,3780.30
2023-07-26,3789.85,3795.92,3756.14,3764.03
2023-07-27,3763.05,3788.54,3756.77,3781.92
2023-07-28,3786.33,3789.54,3735.95,3758.46
2023-07-31,3751.70,3767.74,3743.52,3760.14
2023-08-01,3754.28,3821.95,3740.87,3812.01
2023-08-02,3800.93,3813.05,3768.58,3785.08
2023-08-03,3783.46,3804.96,3783.16,3795.87
2023-08-04,3774.45,3795.67,3745.45,3752.39
2023-08-07,3744.69,3813.82,3742.00,3812.80
2023-08-08,3807.48,3873.01,3780.14,3839.60
2023-08-09,3836.90,3839.27,3790.14,3801.44
2023-08-10,3806.47,3807.95,3729.61,3738.54
2023-08-11,3739.16,3776.53,3720.95,3749.64
2023-08-14,3757.62,3768.33,3683.12,3718.71
2023-08-15,3734.36,3742.34,3711.61,3730.52
2023-08-16,3725.39,3804.76,3722.58,3791.87
2023-08-17,3790.29,3802.93,3697.68,3728.49
2023-08-18,3728.91,3757.40,3705.28,3746.16
2023-08-21,3740.61,3752.32,3722.65,3733.03
2023-08-22,3751.25,3758.90,3693.37,3708.54
2023-08-23,3694.80,3756.12,3692.63,3742.09
2023-08-24,3734.59,3776.58,3729.52,3776.58
2023-08-25,3773.16,3805.66,3716.58,3737.54
2023-08-28,3747.76,3750.55,3667.44,3678.42
2023-08-29,3683.97,3685.11,3650.95,3679.84
2023-08-30,3696.98,3723.15,3665.43,3694.09
2023-08-31,3701.72,3714.48,3683.78,3684.54
2023-09-01,3697.45,3707.33,3651.10,3670.89
2023-09-05,3671.66,3714.41,3651.98,3707.29
2023-09-06,3698.17,3747.03,3694.62,3733.76
2023-09-07,3739.54,3751.73,3717.04,3728.22
2023-09-08,3710.00,3771.33,3705.03,3763.03
2023-09-11,3753.85,3757.32,3684.07,3721.17
2023-09-12,3719.66,3804.23,3716.40,3771.18
2023-09-13,3766.78,3787.53,3705.16,3716.65
2023-09-14,3700.28,3740.14,3690.85,3724.72
2023-09-15,3730.81,3774.81,3719.91,3762.77
2023-09-18,3779.02,3795.97,3758.53,3792.11
2023-09-19,3788.13,3795.39,3720.87,3724.60
2023-09-20,3723.37,3735.55,3698.46,3731.49
2023-09-21,3745.89,3754.81,3694.22,3709.68
2023-09-22,3717.69,3720.08,3696.90,3702.61
2023-09-25,3696.91,3788.81,3696.63,3758.40
2023-09-26,3751.59,3850.57,3748.64,3821.33
2023-09-27,3809.06,3829.32,3771.49,3781.52
2023-09-28,3787.90,3828.10,3753.77,3767.24
2023-09-29,3781.23,3807.50,3764.18,3793.15
2023-10-02,3787.91,3841.44,3769.68,3815.97
2023-10-03,3818.24,3821.24,3768.84,3782.43
2023-10-04,3782.10,3824.58,3774.51,3783.55
2023-10-05,3800.03,3854.28,3795.12,3841.84
2023-10-06,3854.86,3861.59,3778.45,3812.86
2023-10-09,3825.28,3833.58,3787.48,3791.49
2023-10-10,3788.25,3797.60,3764.98,3791.84
2023-10-11,3806.98,3834.37,3788.28,3811.51
2023-10-12,3827.92,3834.70,3791.26,3794.93
2023-10-13,3790.67,3791.32,3777.02,3782.66
2023-10-16,3790.21,3797.63,3753.76,3758.56
2023-10-17,3763.14,3766.01,3726.89,3743.61
2023-10-18,3742.09,3809.67,3722.77,3796.90
2023-10-19,3788.77,3842.39,3788.40,3834.91
2023-10-20,3827.13,3827.14,3779.91,3795.58
2023-10-23,3800.07,3820.40,3796.09,3818.96
2023-10-24,3803.40,3809.44,3795.16,3803.36
2023-10-25,3808.61,3821.53,3739.47,3749.86
2023-10-26,3766.63,3775.29,3624.58,3636.43
2023-10-27,3647.42,3669.78,3642.89,3658.50
2023-10-30,3656.15,3692.01,3645.06,3647.32
2023-10-31,3652.70,3689.71,3612.15,3652.14
2023-11-01,3661.24,3675.29,3641.50,3644.99
2023-11-02,3639.78,3658.95,3595.80,3605.75
2023-11-03,3607.20,3651.52,3594.87,3641.30
2023-11-06,3653.79,3672.84,3576.19,3585.87
2023-11-07,3585.74,3615.36,3559.50,3610.18
2023-11-08,3597.77,3608.61,3561.09,3573.39
2023-11-09,3575.79,3606.24,3568.28,3570.33
2023-11-10,3573.28,3607.05,3500.93,3511.81
2023-11-13,3519.85,3542.20,3479.16,3489.01
2023-11-14,3471.85,3567.08,3460.02,3565.33
2023-11-15,3572.72,3581.45,3538.60,3566.55
2023-11-16,3568.79,3583.24,3484.51,3501.09
2023-11-17,3512.00,3526.10,3448.91,3469.63
2023-11-20,3455.69,3462.02,3419.67,3440.09
2023-11-21,3452.13,3468.70,3378.73,3394.76
2023-11-22,3370.46,3378.68,3286.53,3292.37
2023-11-24,3308.48,3359.93,3289.78,3346.96
2023-11-27,3352.74,3363.10,3327.10,3339.15
2023-11-28,3349.72,3386.46,3297.45,3300.75
