date,open,high,low,close
2023-01-02,23.993,24.166,23.720,23.759
2023-01-03,23.736,24.422,23.694,24.223
2023-01-04,24.381,24.449,24.186,24.227
2023-01-05,24.097,24.620,23.971,24.599
2023-01-06,24.534,25.003,24.274,24.857
2023-01-09,25.091,25.225,24.840,24.887
2023-01-10,24.813,24.853,24.661,24.682
2023-01-11,24.652,25.379,24.573,25.304
2023-01-12,25.244,25.336,24.901,24.977
2023-01-13,24.972,25.226,24.743,24.860
2023-01-16,24.651,24.924,24.592,24.858
2023-01-17,25.092,25.251,24.942,25.047
2023-01-18,24.872,25.117,24.755,24.772
2023-01-19,24.753,24.775,24.604,24.746
2023-01-20,24.808,25.331,24.613,25.170
2023-01-23,25.234,25.519,25.227,25.496
2023-01-24,25.611,25.712,25.067,25.259
2023-01-25,25.228,25.340,24.998,25.196
2023-01-26,25.278,25.280,24.675,24.706
2023-01-27,24.691,24.702,24.540,24.628
2023-01-30,24.639,24.699,24.212,24.279
2023-01-31,24.334,24.546,24.257,24.466
2023-02-01,24.620,24.767,24.487,24.661
2023-02-02,24.594,24.609,24.486,24.604
2023-02-03,24.446,24.705,24.181,24.680
2023-02-06,24.855,25.087,24.030,24.060
2023-02-07,24.150,24.424,23.711,24.369
2023-02-08,24.326,25.218,24.246,25.159
2023-02-09,25.150,25.207,24.976,25.146
2023-02-10,24.986,25.697,24.657,25.632
2023-02-13,25.546,26.165,25.326,26.104
2023-02-14,26.298,26.554,25.782,25.841
2023-02-15,25.778,26.012,25.679,25.848
2023-02-16,25.768,25.912,25.685,25.721
2023-02-17,25.805,26.597,25.552,26.066
2023-02-20,26.011,26.389,25.675,26.167
2023-02-21,26.502,26.678,25.900,26.277
2023-02-22,26.140,26.924,25.948,26.801
2023-02-23,26.845,27.053,26.421,26.480
2023-02-24,26.473,26.832,26.349,26.597
2023-02-27,26.641,26.893,26.237,26.323
2023-02-28,26.394,26.755,26.244,26.623
2023-03-01,26.543,26.657,25.953,26.017
2023-03-02,26.029,26.130,25.739,25.854
2023-03-03,25.990,26.167,25.541,25.797
2023-03-06,25.977,25.984,25.332,25.358
2023-03-07,25.380,25.604,25.042,25.240
2023-03-08,25.111,25.574,24.967,25.535
2023-03-09,25.686,26.155,25.464,25.832
2023-03-10,25.841,26.811,25.768,26.350
2023-03-13,26.310,26.311,25.834,25.839
2023-03-14,25.880,26.144,25.680,26.109
2023-03-15,26.247,26.618,25.867,25.900
2023-03-16,25.859,26.160,25.521,26.136
2023-03-17,26.300,26.365,25.730,25.922
2023-03-20,25.859,26.257,25.651,26.199
2023-03-21,26.251,26.351,26.180,26.346
2023-03-22,26.296,26.506,25.451,25.624
2023-03-23,25.560,25.736,25.525,25.632
2023-03-24,25.683,26.734,25.580,26.083
2023-03-27,26.144,26.331,25.930,26.073
2023-03-28,26.087,26.351,26.030,26.334
2023-03-29,26.322,26.375,25.504,25.642
2023-03-30,25.789,26.028,25.610,25.786
2023-03-31,26.069,26.201,25.799,26.128
2023-04-03,26.231,26.717,25.911,26.402
2023-04-04,26.442,27.166,26.236,26.950
2023-04-05,26.827,26.963,26.647,26.736
2023-04-06,26.524,27.474,26.400,27.350
2023-04-07,27.291,27.437,27.238,27.424
2023-04-10,27.425,28.017,27.343,27.839
2023-04-11,27.934,28.009,27.163,27.612
2023-04-12,27.615,27.800,27.509,27.777
2023-04-13,27.699,28.065,27.632,28.028
2023-04-14,27.834,28.038,27.796,27.988
2023-04-17,27.973,28.274,27.593,27.759
2023-04-18,27.757,28.314,27.436,28.147
2023-04-19,28.032,28.279,27.824,28.267
2023-04-20,28.333,28.364,28.161,28.361
2023-04-21,28.475,28.759,27.713,28.074
2023-04-24,28.067,28.996,27.900,28.927
2023-04-25,28.790,29.278,28.514,29.061
2023-04-26,29.052,29.349,28.927,29.078
2023-04-27,28.930,28.954,28.816,28.927
2023-04-28,28.950,29.102,28.516,28.690
2023-05-01,28.766,29.040,28.326,28.571
2023-05-02,28.420,29.126,28.243,29.124
