date,open,high,low,close,bid,ask
2023-01-02,1.34719,1.34721,1.34415,1.34527,1.34523,1.34531
2023-01-03,1.34566,1.34967,1.34101,1.34269,1.34265,1.34273
2023-01-04,1.34562,1.34915,1.34542,1.34597,1.34593,1.34601
2023-01-05,1.34592,1.35531,1.34348,1.35343,1.35339,1.35347
2023-01-06,1.35189,1.35749,1.35036,1.35455,1.35451,1.35459
2023-01-09,1.35412,1.35453,1.34933,1.35081,1.35077,1.35085
2023-01-10,1.35069,1.35544,1.33941,1.33945,1.33941,1.33949
2023-01-11,1.33943,1.34971,1.33677,1.34867,1.34863,1.34871
2023-01-12,1.34838,1.35274,1.34359,1.34887,1.34883,1.34891
2023-01-13,1.34923,1.35882,1.34709,1.35603,1.35599,1.35607
2023-01-16,1.35709,1.36704,1.35612,1.36690,1.36686,1.36694
2023-01-17,1.36498,1.36523,1.36109,1.36443,1.36439,1.36447
2023-01-18,1.36529,1.36696,1.36495,1.36583,1.36579,1.36587
2023-01-19,1.36635,1.36801,1.35186,1.35228,1.35224,1.35232
2023-01-20,1.35042,1.35366,1.34220,1.34661,1.34657,1.34665
2023-01-23,1.34669,1.34974,1.34578,1.34879,1.34875,1.34883
2023-01-24,1.34550,1.36196,1.34050,1.35913,1.35909,1.35917
2023-01-25,1.36034,1.37490,1.36007,1.37195,1.37191,1.37199
2023-01-26,1.37171,1.37390,1.37041,1.37373,1.37369,1.37377
2023-01-27,1.37373,1.38844,1.37008,1.38246,1.38242,1.38250
2023-01-30,1.38185,1.38485,1.37501,1.37536,1.37532,1.37540
2023-01-31,1.37553,1.38079,1.37174,1.37989,1.37985,1.37993
2023-02-01,1.37614,1.38523,1.37302,1.38380,1.38376,1.38384
2023-02-02,1.38572,1.38872,1.38332,1.38358,1.38354,1.38362
2023-02-03,1.38188,1.38342,1.37799,1.37868,1.37864,1.37872
2023-02-06,1.38056,1.38176,1.37865,1.37952,1.37948,1.37956
2023-02-07,1.37881,1.37962,1.37473,1.37651,1.37647,1.37655
2023-02-08,1.37615,1.38171,1.37297,1.38074,1.38070,1.38078
2023-02-09,1.38248,1.38552,1.36919,1.37097,1.37093,1.37101
2023-02-10,1.36972,1.37355,1.36362,1.36790,1.36786,1.36794
2023-02-13,1.36601,1.37267,1.36558,1.36730,1.36726,1.36734
2023-02-14,1.36905,1.37216,1.35966,1.36111,1.36107,1.36115
2023-02-15,1.36043,1.36806,1.35884,1.36255,1.36251,1.36259
2023-02-16,1.36102,1.36679,1.35946,1.36419,1.36415,1.36423
2023-02-17,1.36460,1.36566,1.35924,1.36233,1.36229,1.36237
2023-02-20,1.36578,1.36914,1.35740,1.35981,1.35977,1.35985
2023-02-21,1.36157,1.36307,1.36044,1.36295,1.36291,1.36299
2023-02-22,1.36379,1.36381,1.36233,1.36353,1.36349,1.36357
2023-02-23,1.36429,1.36716,1.35688,1.35692,1.35688,1.35696
2023-02-24,1.35489,1.35782,1.34943,1.35409,1.35405,1.35413
2023-02-27,1.35530,1.36835,1.35404,1.36223,1.36219,1.36227
2023-02-28,1.36228,1.36364,1.35314,1.35763,1.35759,1.35767
2023-03-01,1.35728,1.35959,1.35375,1.35382,1.35378,1.35386
2023-03-02,1.35293,1.35440,1.34763,1.35044,1.35040,1.35048
2023-03-03,1.35052,1.35513,1.34783,1.35439,1.35435,1.35443
2023-03-06,1.35621,1.35685,1.35089,1.35180,1.35176,1.35184
2023-03-07,1.35266,1.35457,1.35053,1.35436,1.35432,1.35440
2023-03-08,1.35743,1.36885,1.35635,1.36167,1.36163,1.36171
2023-03-09,1.36179,1.36653,1.35772,1.36469,1.36465,1.36473
2023-03-10,1.36044,1.36922,1.35696,1.36859,1.36855,1.36863
2023-03-13,1.36972,1.37207,1.36776,1.37131,1.37127,1.37135
2023-03-14,1.36805,1.37347,1.35897,1.36297,1.36293,1.36301
2023-03-15,1.36377,1.36500,1.36372,1.36409,1.36405,1.36413
2023-03-16,1.36631,1.36893,1.36246,1.36492,1.36488,1.36496
2023-03-17,1.36619,1.36721,1.36249,1.36705,1.36701,1.36709
2023-03-20,1.36661,1.37269,1.36485,1.37156,1.37152,1.37160
2023-03-21,1.37138,1.38209,1.37075,1.37841,1.37837,1.37845
2023-03-22,1.37881,1.37973,1.37151,1.37396,1.37392,1.37400
2023-03-23,1.36898,1.37014,1.36545,1.36848,1.36844,1.36852
2023-03-24,1.36814,1.37890,1.36630,1.37593,1.37589,1.37597
2023-03-27,1.37573,1.38301,1.37301,1.37683,1.37679,1.37687
2023-03-28,1.37566,1.38276,1.37158,1.37943,1.37939,1.37947
2023-03-29,1.37939,1.38297,1.37813,1.38081,1.38077,1.38085
2023-03-30,1.38199,1.38591,1.38113,1.38582,1.38578,1.38586
2023-03-31,1.38773,1.39453,1.38717,1.39353,1.39349,1.39357
2023-04-03,1.39349,1.39402,1.38390,1.38630,1.38626,1.38634
2023-04-04,1.38624,1.38971,1.38414,1.38521,1.38517,1.38525
