date,open,high,low,close,bid,ask
2023-01-02,144.918,145.285,142.292,142.860,142.856,142.864
2023-01-03,142.822,143.570,142.141,143.144,143.140,143.148
2023-01-04,142.898,144.293,142.642,143.991,143.987,143.995
2023-01-05,144.024,145.706,143.754,145.561,145.557,145.565
2023-01-06,145.621,145.888,145.461,145.761,145.757,145.765
2023-01-09,146.003,146.168,145.729,145.913,145.909,145.917
2023-01-10,146.109,146.212,145.256,146.073,146.069,146.077
2023-01-11,146.181,146.691,144.452,145.239,145.235,145.243
2023-01-12,145.346,145.946,144.146,144.399,144.395,144.403
2023-01-13,143.917,144.314,143.226,143.432,143.428,143.436
2023-01-16,143.684,143.697,142.578,142.816,142.812,142.820
2023-01-17,142.927,144.121,142.259,143.812,143.808,143.816
2023-01-18,143.838,144.756,142.692,142.911,142.907,142.915
2023-01-19,142.645,144.634,142.204,144.034,144.030,144.038
2023-01-20,144.143,144.382,143.976,144.058,144.054,144.062
2023-01-23,144.211,144.243,142.084,143.002,142.998,143.006
2023-01-24,142.955,143.323,141.148,141.770,141.766,141.774
2023-01-25,142.012,142.604,141.397,141.481,141.477,141.485
2023-01-26,141.177,141.435,140.841,141.167,141.163,141.171
2023-01-27,141.637,142.174,140.726,141.669,141.665,141.673
2023-01-30,141.257,141.866,141.091,141.579,141.575,141.583
2023-01-31,140.865,141.296,140.293,140.919,140.915,140.923
2023-02-01,141.377,141.387,140.375,141.045,141.041,141.049
2023-02-02,140.809,142.015,140.762,141.428,141.424,141.432
2023-02-03,141.661,142.012,141.364,141.918,141.914,141.922
2023-02-06,141.645,141.715,141.523,141.628,141.624,141.632
2023-02-07,141.471,142.833,140.768,142.557,142.553,142.561
2023-02-08,142.519,143.635,142.146,143.061,143.057,143.065
2023-02-09,142.492,144.088,141.792,143.824,143.820,143.828
2023-02-10,143.683,144.203,142.825,143.212,143.208,143.216
2023-02-13,143.336,143.587,143.042,143.146,143.142,143.150
2023-02-14,143.839,144.290,142.455,142.817,142.813,142.821
2023-02-15,142.892,142.915,142.002,142.130,142.126,142.134
2023-02-16,142.533,142.873,139.780,140.047,140.043,140.051
2023-02-17,140.034,140.269,139.309,139.361,139.357,139.365
2023-02-20,139.517,141.203,139.048,141.044,141.040,141.048
2023-02-21,140.884,141.174,140.539,141.138,141.134,141.142
2023-02-22,141.494,142.809,140.901,142.302,142.298,142.306
2023-02-23,142.524,143.198,142.429,142.646,142.642,142.650
2023-02-24,142.631,143.075,142.010,142.931,142.927,142.935
2023-02-27,143.243,143.411,142.689,142.968,142.964,142.972
2023-02-28,142.939,143.194,142.611,143.111,143.107,143.115
2023-03-01,143.352,143.613,142.791,142.803,142.799,142.807
2023-03-02,142.931,143.672,142.768,143.206,143.202,143.210
2023-03-03,142.950,143.322,142.378,142.818,142.814,142.822
2023-03-06,142.868,142.930,141.753,142.380,142.376,142.384
2023-03-07,142.425,143.298,142.130,143.290,143.286,143.294
2023-03-08,143.631,144.124,143.600,143.864,143.860,143.868
2023-03-09,143.955,145.389,143.926,144.728,144.724,144.732
2023-03-10,144.656,145.543,143.858,144.026,144.022,144.030
2023-03-13,143.915,144.039,143.353,143.808,143.804,143.812
2023-03-14,143.477,144.492,143.092,143.893,143.889,143.897
2023-03-15,143.847,144.493,143.757,144.399,144.395,144.403
2023-03-16,144.665,145.027,144.386,144.674,144.670,144.678
2023-03-17,144.715,145.255,144.431,145.124,145.120,145.128
2023-03-20,145.501,146.307,145.089,145.831,145.827,145.835
2023-03-21,145.419,146.127,144.763,144.812,144.808,144.816
2023-03-22,144.841,144.951,143.585,143.881,143.877,143.885
2023-03-23,143.651,144.637,143.018,144.420,144.416,144.424
2023-03-24,144.822,145.523,144.539,144.869,144.865,144.873
2023-03-27,144.918,145.148,144.555,144.855,144.851,144.859
2023-03-28,145.183,145.847,144.199,144.343,144.339,144.347
2023-03-29,144.600,145.032,143.865,144.931,144.927,144.935
2023-03-30,145.330,145.849,144.206,145.111,145.107,145.115
2023-03-31,144.853,145.025,142.957,143.379,143.375,143.383
2023-04-03,143.499,143.835,141.522,141.563,141.559,141.567
2023-04-04,141.034,142.969,140.476,142.608,142.604,142.612
2023-04-05,142.205,142.584,141.264,141.490,141.486,141.494
2023-04-06,141.485,141.618,140.651,140.968,140.964,140.972
2023-04-07,140.901,141.338,139.364,139.905,139.901,139.909
2023-04-10,139.461,141.755,138.903,141.684,141.680,141.688
2023-04-11,141.528,143.622,140.869,143.336,143.332,143.340
2023-04-12,142.943,143.837,142.386,143.413,143.409,143.417
